ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences
AEW46233__JQ264772.1	JQ264772.1_Cebine betaherpesvirus 1	1125844	Cebine betaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus	JQ264772.1	Cytomegalovirus	Cytomegalovirus	JQ264772.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus	AEW46233	JQ264772.1	AEW46233
AAG13396__AF283477.2	AF283477.2_Caprine gammaherpesvirus 2	135102	Caprine gammaherpesvirus 2	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Macavirus	AF283477.2	Macavirus	Macavirus	AF283477.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Macavirus	AAG13396	AF283477.2	AAG13396
YP_009179299__KT832477	KT832477_Elephant endotheliotropic herpesvirus 4	548914	Elephant endotheliotropic herpesvirus 4	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Proboscivirus;unclassified Proboscivirus	KT832477	Proboscivirus	unclassified Proboscivirus	KT832477_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Proboscivirus;unclassified Proboscivirus	YP_009179299	KT832477	YP_009179299,ALM25982,ASV70521
APQ48421__KU216226.1	KU216226.1_Anatid alphaherpesvirus 1	104388	Anatid alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus	KU216226.1	Mardivirus	Mardivirus	KU216226.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus	APQ48421	KU216226.1	APQ48421,AJG04899,YP_003084391,AGA17822,AGW24824,AGS78690,AFC61852,AEN80095,ACT83543,ABU46133,ABO26217,ABM92130,gi|254839998|gb|ACT,ABU49741,AEP69256
Q2HRD0__undef	undef_Human herpesvirus 8 strain GK18	868565	Human herpesvirus 8 strain GK18	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Human gammaherpesvirus 8	undef	Rhadinovirus	Human gammaherpesvirus 8	undef_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Human gammaherpesvirus 8	Q2HRD0	undef	Q2HRD0,BBA91110,BBA91022,BBA90934,BBA90847,BAV17853,AAC57974,AAB62593,ALH45470,ALH45384,ALH45296,ALH45208,ALH45120,ALH45034,ALH44946,ALH44858,ALH44770,ALH44682,ALH44594,ALH44507,ALH44419,ALH44331,ALH44243,ALH44157,ACY00400,AKE33038,AFU08340,AFQ99132,YP_001129355,ADQ57883,AAC57086,ABD28853
AJD79498__KM061380.1	KM061380.1_Suid alphaherpesvirus 1	10345	Suid alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	KM061380.1	Varicellovirus	Varicellovirus	KM061380.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus	AJD79498	KM061380.1	AJD79498,SOF05929,ARJ55446,ANA11290,APT68431,AFI70933,AFI70864,ANZ03044,ANR01130,AMR55915,ANF34848,AMO42734,ALT14236,AKG94047,AKG93981,ALO75750,ALO75681,AKG94113,AML81196,AML81127,AKE31908,AKP23827,AJW72249,AIT55755,AID18731,AGW01106,YP_068333,AEM64080,AEM64011,AEM63946,AFI70795,AAA74383,DAA02153
YP_004940227__FJ483967	FJ483967_Saimiriine betaherpesvirus 4	1535247	Saimiriine betaherpesvirus 4	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus	FJ483967	Cytomegalovirus	Cytomegalovirus	FJ483967_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus	YP_004940227	FJ483967	YP_004940227,AEV80915
AAW55992__AY854167.1	AY854167.1_Mus musculus rhadinovirus 1	308714	Mus musculus rhadinovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	AY854167.1	Rhadinovirus	unclassified Rhadinovirus	AY854167.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	AAW55992	AY854167.1	AAW55992,ABH08758
AAW55994__AY854169.2	AY854169.2_Myodes glareolus rhadinovirus 1	456832	Myodes glareolus rhadinovirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	AY854169.2	Rhadinovirus	unclassified Rhadinovirus	AY854169.2_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;unclassified Rhadinovirus	AAW55994	AY854169.2	AAW55994
YP_009253942__KU351741	KU351741_Macaca nemestrina herpesvirus 7	1846169	Macaca nemestrina herpesvirus 7	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Roseolovirus;unclassified Roseolovirus	KU351741	Roseolovirus	unclassified Roseolovirus	KU351741_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Roseolovirus;unclassified Roseolovirus	YP_009253942	KU351741	YP_009253942,ANC96520
YP_009137478__KR351281	KR351281_Papio ursinus cytomegalovirus	1667587	Papio ursinus cytomegalovirus	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;Cercopithecine betaherpesvirus 5	KR351281	Cytomegalovirus	Cercopithecine betaherpesvirus 5	KR351281_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;Cercopithecine betaherpesvirus 5	YP_009137478	KR351281	YP_009137478,AKG51610,AAM89282
ATA58242__MF385016.1	MF385016.1_Eptesicus fuscus gammaherpesvirus	2035399	Eptesicus fuscus gammaherpesvirus	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	MF385016.1	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	MF385016.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	ATA58242	MF385016.1	ATA58242
SBO07717__LT576867.1	LT576867.1_Herpes simplex virus (type 1 / strain 17)	10299	Herpes simplex virus (type 1 / strain 17)	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus;Human alphaherpesvirus 1	LT576867.1	Simplexvirus	Human alphaherpesvirus 1	LT576867.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus;Human alphaherpesvirus 1	SBO07717	LT576867.1	SBO07717
YP_009176907__KM924292	KM924292_Testudinid herpesvirus 3	1561226	Testudinid herpesvirus 3	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Scutavirus;unclassified Scutavirus	KM924292	Scutavirus	unclassified Scutavirus	KM924292_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Scutavirus;unclassified Scutavirus	YP_009176907	KM924292	YP_009176907,AKI81754,AKI81651,AIU39375,AIU39265,AKV40702
AFK85010__JQ814845.1	JQ814845.1_Rhinolophus ferrumequinum herpesvirus 1	1195374	Rhinolophus ferrumequinum herpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;unclassified Herpesviridae	JQ814845.1	undef	unclassified Herpesviridae	JQ814845.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;unclassified Herpesviridae	AFK85010	JQ814845.1	AFK85010
AIN81109__KJ843243.1	KJ843243.1_Gorilla gorilla herpesvirus 7	1543219	Gorilla gorilla herpesvirus 7	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Roseolovirus;unclassified Roseolovirus	KJ843243.1	Roseolovirus	unclassified Roseolovirus	KJ843243.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Roseolovirus;unclassified Roseolovirus	AIN81109	KJ843243.1	AIN81109,AIN81108,AIN81097,AIN81096
AFK85012__JQ814846.1	JQ814846.1_Tylonycteris robustula herpesvirus 1	1195376	Tylonycteris robustula herpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;unclassified Herpesviridae	JQ814846.1	undef	unclassified Herpesviridae	JQ814846.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;unclassified Herpesviridae	AFK85012	JQ814846.1	AFK85012
Q85428__undef	undef_Rat cytomegalovirus Maastricht	79700	Rat cytomegalovirus Maastricht	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Muromegalovirus;Murid betaherpesvirus 2	undef	Muromegalovirus	Murid betaherpesvirus 2	undef_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Muromegalovirus;Murid betaherpesvirus 2	Q85428	undef	Q85428,NP_064160,AAF99153
AAD30142__AF141887.3	AF141887.3_Tapirus terrestris gammaherpesvirus 1	93387	Tapirus terrestris gammaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AF141887.3	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	AF141887.3_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	AAD30142	AF141887.3	AAD30142
P52367__undef	undef_Equid herpesvirus type 2 strain 86/87	82831	Equid herpesvirus type 2 strain 86/87	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Percavirus;Equid gammaherpesvirus 2	undef	Percavirus	Equid gammaherpesvirus 2	undef_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Percavirus;Equid gammaherpesvirus 2	P52367	undef	P52367,NP_042605,ADZ99583,ADZ99582,ADZ99581,ADZ99580,ADZ99579,ADZ99578,ADZ99568,ADZ99567,ADZ99566,AIU39456,AAC13796,ADZ99584
YP_004936030__FJ483968	FJ483968_Cercopithecine betaherpesvirus 5	50292	Cercopithecine betaherpesvirus 5	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus	FJ483968	Cytomegalovirus	Cytomegalovirus	FJ483968_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus	YP_004936030	FJ483968	YP_004936030,AEV80601,AEV80365,AEW46232
YP_009361907__KY385637	KY385637_Ateline alphaherpesvirus 1	35243	Ateline alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	KY385637	Simplexvirus	Simplexvirus	KY385637_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus	YP_009361907	KY385637	YP_009361907,AQS79185
NP_073324__AF291866	AF291866_Meleagrid alphaherpesvirus 1	37108	Meleagrid alphaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus	AF291866	Mardivirus	Mardivirus	AF291866_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus	NP_073324	AF291866	NP_073324,AAG30070,AAG45768
ABU52899__EU085379.1	EU085379.1_Elephas maximus gammaherpesvirus 1	462297	Elephas maximus gammaherpesvirus 1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	EU085379.1	unclassified Gammaherpesvirinae	unclassified Gammaherpesvirinae	EU085379.1_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;unclassified Gammaherpesvirinae	ABU52899	EU085379.1	ABU52899
AAC57976__AF005479.4	AF005479.4_Retroperitoneal fibromatosis-associated herpesvirus	111469	Retroperitoneal fibromatosis-associated herpesvirus	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Human gammaherpesvirus 8	AF005479.4	Rhadinovirus	Human gammaherpesvirus 8	AF005479.4_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Human gammaherpesvirus 8	AAC57976	AF005479.4	AAC57976,AAN35122
O71121__undef	undef_Rhesus cytomegalovirus strain 68-1	103930	Rhesus cytomegalovirus strain 68-1	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;Macacine betaherpesvirus 3	undef	Cytomegalovirus	Macacine betaherpesvirus 3	undef_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;Macacine betaherpesvirus 3	O71121	undef	O71121,APT39802,YP_009337504,APT40327,APT40152,APT39977,APT39629,APT39456,APT39343,AAC05256,AKT72642,AFL03576,YP_068180,AEQ32165,AAZ80589,AAP50613,AAW55912
YP_009052018__KF921519	KF921519_Elephant endotheliotropic herpesvirus 5	768738	Elephant endotheliotropic herpesvirus 5	Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Proboscivirus;unclassified Proboscivirus	KF921519	Proboscivirus	unclassified Proboscivirus	KF921519_Viruses;dsDNA viruses-no RNA stage;Herpesvirales;Herpesviridae;Betaherpesvirinae;Proboscivirus;unclassified Proboscivirus	YP_009052018	KF921519	YP_009052018,AHC02839,AEW50109,AEW50122,AGK82352
