species,ANI26401,ANG65538,SBO07726,YP_009253942,YP_009252254,ANB43610,AKT72642,AIJ28621,NP_733857,NP_064160,AAF80111,AAF16520,AAC58687,AAB66388,AMO64740,AKZ18144,YP_009230161,YP_009229846,YP_009227263,AMB66138,AMB65994,AMB16939,AMB15810,ALX81095,YP_438136,AJT58581,AJG04899,ALB06101,ALB06099,YP_009176907,YP_009173887,ALF03278,YP_009179299,AJG42938,AGG16071,Q2HRD0,YP_009137478,AIL27699,YP_004936030,AKP92777,AKE44231,Q69025,Q6UDK1,O36363,P52367,P24907,BAP00709,YP_009118399,AIA82756,YP_073778,AJE29648,AJD79498,AIN81109,AIN81107,AIA09524,YP_009054933,AIQ80750,YP_009052018,YP_004940227,YP_009041990,YP_009044396,AHH02047,AHM96371,YP_009011017,AGY30688,AHA93360,YP_004940081,NP_047983,CCE57390,AFM85236,AFM85234,AFK85012,AFK85010,YP_004207849,YP_003933809,YP_003662494,YP_182359,YP_164473,NP_077443,NP_073324,NP_066862,AFK83885,ABH05845,AEW46233,AEM72555,AEI00235,AEA39187,ADY80543,AAM89282,AAM89279,ADY05325,ADY05323,ADY05321,ADY05320,ADY05319,ADY05318,ADY05317,ADY05314,ADY05311,AAM89278,ADK70918,AAN35123,ADM52140,BAI22795,AAM62282,ADE62355,ABN49965,ABN49966,ABN49957,ABO40787,ABO40783,ABO40780,ABO40775,AAG13396,AAD55134,ACX70157,AAO12315,AAK00812,AAT79466,BAH57334,AAP42119,AAP42117,ABI21851,AAS75147,AAO46908,AAO46905,AAD30142,AAO46907,ABI21852,ABU52901,ABU52899,AAC57976,ABV03816,ABV03812,ABV03810,AAN35124,ABH05847,ABH05841,ABH08758,ABH08757,AAW55994,AAW55992,CAB61753
Q2HRD0,0.501976,0.710474,0.715415,0.667984,0.718379,0.718379,0.645257,0.710474,0.520751,0.671937,0.660377,0.458167,0.340909,0.458498,0.691700,0.661067,0.718379,0.418000,0.732213,0.718379,0.719368,0.713439,0.709486,0.726285,0.448898,0.724308,0.712451,0.493169,0.450068,0.680830,0.456456,0.496047,0.668972,0.429860,0.660079,0.000000,0.649209,0.711462,0.647233,0.466307,0.666008,0.691700,0.717391,0.456522,0.431548,0.404361,0.716403,0.423913,0.396020,0.666008,0.341897,0.684783,0.661721,0.663043,0.726285,0.707510,0.711462,0.669960,0.648221,0.462387,0.455455,0.455405,0.722332,0.710474,0.248024,0.709486,0.666996,0.410307,0.714427,0.420635,0.393788,0.706522,0.637352,0.467391,0.714427,0.711462,0.746773,0.719368,0.707510,0.730237,0.726285,0.709486,0.424837,0.651186,0.668269,0.723320,0.396739,0.489305,0.653491,0.654618,0.519308,0.500000,0.502674,0.500669,0.509309,0.516644,0.509987,0.509987,0.553770,0.496662,0.661888,0.453083,0.714427,0.723684,0.433735,0.700777,0.471598,0.500000,0.477184,0.676278,0.678899,0.654494,0.716450,0.454432,0.717391,0.249668,0.453546,0.394030,0.717391,0.408300,0.437158,0.432653,0.462788,0.462025,0.385445,0.160904,0.471822,0.398385,0.415094,0.499355,0.489933,0.265810,0.662286,0.505992,0.347942,0.131649,0.424084,0.433420,0.485830,0.457718,0.488652,0.485372,0.213333
YP_009137478,0.650246,0.720192,0.729808,0.578063,0.720192,0.715385,0.191304,0.733654,0.668307,0.527885,0.650447,0.702191,0.700197,0.658228,0.429808,0.578063,0.726923,0.656000,0.738462,0.727885,0.734615,0.716346,0.719231,0.733654,0.655311,0.723077,0.728846,0.689891,0.692202,0.735577,0.679680,0.652217,0.638462,0.662325,0.630769,0.649209,0.000000,0.722115,0.109932,0.656334,0.488462,0.517308,0.721154,0.653996,0.666667,0.662042,0.729808,0.684366,0.663682,0.575518,0.701876,0.732692,0.571711,0.579467,0.728846,0.716346,0.726923,0.691191,0.353516,0.708124,0.701702,0.666216,0.729808,0.728846,0.644620,0.713462,0.377049,0.670961,0.486538,0.664683,0.661323,0.529126,0.568047,0.648675,0.726923,0.725000,0.742800,0.728846,0.743269,0.739423,0.753846,0.468269,0.678431,0.339844,0.653846,0.725000,0.736413,0.732620,0.065876,0.271754,0.671105,0.659091,0.667112,0.661312,0.660904,0.661784,0.667111,0.665779,0.695921,0.651535,0.641577,0.663539,0.725962,0.486842,0.681727,0.525907,0.657860,0.664021,0.676662,0.504587,0.499345,0.553371,0.635281,0.644195,0.729808,0.650730,0.707293,0.717413,0.726923,0.630522,0.681694,0.663946,0.672530,0.687342,0.668464,0.646277,0.681520,0.662180,0.667116,0.670968,0.663087,0.643633,0.198423,0.664447,0.673307,0.646277,0.672775,0.667102,0.650472,0.671141,0.658211,0.650266,0.611667
AIL27699,0.705419,0.488294,0.118729,0.748024,0.525021,0.569597,0.723671,0.481575,0.717520,0.748508,0.745780,0.726096,0.712032,0.736125,0.780936,0.748024,0.352941,0.741000,0.382943,0.029264,0.035953,0.463211,0.459866,0.520903,0.732465,0.506689,0.548495,0.747268,0.760602,0.553004,0.745746,0.706404,0.738007,0.734469,0.744031,0.711462,0.722115,0.000000,0.720347,0.737197,0.727969,0.740376,0.530990,0.734893,0.718254,0.727453,0.262542,0.714848,0.730348,0.737414,0.715696,0.588179,0.737883,0.737414,0.218227,0.434783,0.532609,0.742498,0.720703,0.724173,0.731732,0.747297,0.227425,0.045987,0.707799,0.583840,0.721311,0.726462,0.735883,0.737103,0.732465,0.727184,0.740631,0.727184,0.328595,0.533445,0.578947,0.229097,0.507679,0.536789,0.555462,0.720629,0.691503,0.727539,0.730769,0.568562,0.728261,0.739305,0.731225,0.728246,0.739015,0.723262,0.745989,0.741633,0.715426,0.735020,0.732357,0.735020,0.741656,0.712951,0.752688,0.738606,0.025920,0.706478,0.726908,0.734456,0.750330,0.743386,0.739244,0.743119,0.749672,0.742978,0.755411,0.719101,0.329431,0.727756,0.722278,0.730348,0.489967,0.690763,0.744536,0.722449,0.745602,0.721519,0.745283,0.723404,0.748362,0.752355,0.729111,0.757419,0.723490,0.711747,0.725361,0.732357,0.735724,0.724734,0.696335,0.727154,0.738192,0.716779,0.738318,0.731383,0.676667
YP_004936030,0.696552,0.725169,0.732883,0.577075,0.729026,0.712633,0.165217,0.740598,0.671260,0.517840,0.588878,0.710159,0.702170,0.653359,0.423337,0.652174,0.719383,0.658000,0.737705,0.735776,0.732883,0.723240,0.726133,0.735776,0.660321,0.725169,0.729026,0.695355,0.699042,0.738669,0.680681,0.655172,0.692382,0.683367,0.636451,0.647233,0.109932,0.720347,0.000000,0.663073,0.486017,0.513018,0.727097,0.651072,0.662698,0.656095,0.726133,0.692232,0.657711,0.576505,0.705824,0.711668,0.573689,0.581441,0.728062,0.719383,0.725169,0.635044,0.359375,0.657974,0.641642,0.672973,0.728062,0.724204,0.649556,0.718419,0.381871,0.667988,0.479267,0.664683,0.667335,0.633010,0.559172,0.648675,0.725169,0.724204,0.730884,0.731919,0.741562,0.736741,0.756027,0.465767,0.677124,0.348633,0.656250,0.723240,0.737772,0.737968,0.102767,0.259705,0.676431,0.655080,0.669786,0.661312,0.663564,0.665779,0.675100,0.667111,0.704574,0.656876,0.642772,0.666220,0.728062,0.484818,0.683735,0.525907,0.655218,0.667989,0.675359,0.499345,0.501966,0.544944,0.636364,0.652934,0.726133,0.653386,0.707293,0.659701,0.730955,0.619813,0.680328,0.663946,0.672530,0.696203,0.671159,0.640957,0.688073,0.664872,0.673854,0.669677,0.661745,0.649556,0.172142,0.671105,0.671979,0.638298,0.679319,0.659269,0.647773,0.673826,0.663551,0.654255,0.615000
AKP92777,0.537736,0.729111,0.738544,0.677898,0.730458,0.718329,0.637466,0.737197,0.524259,0.683288,0.675202,0.413747,0.504043,0.510782,0.690027,0.680593,0.738544,0.495957,0.727763,0.738544,0.738544,0.725067,0.733154,0.741240,0.121294,0.741240,0.746631,0.516393,0.510260,0.677898,0.517520,0.530997,0.645553,0.506739,0.663073,0.466307,0.656334,0.737197,0.663073,0.000000,0.698113,0.653639,0.707547,0.257412,0.478437,0.487871,0.741240,0.473046,0.479784,0.675202,0.512129,0.684636,0.672507,0.668464,0.745283,0.743935,0.735849,0.667116,0.644205,0.343666,0.250674,0.516216,0.745283,0.735849,0.485175,0.703504,0.652291,0.491914,0.656334,0.454178,0.486523,0.661725,0.668464,0.525606,0.745283,0.737197,0.734501,0.735849,0.725067,0.738544,0.746631,0.663073,0.495957,0.654987,0.657682,0.745283,0.483696,0.394879,0.659030,0.653639,0.541779,0.526954,0.526954,0.529650,0.529650,0.543127,0.533693,0.539084,0.539084,0.521563,0.665768,0.504043,0.738544,0.663073,0.504043,0.671159,0.520216,0.552561,0.532345,0.668464,0.673854,0.669944,0.733154,0.180593,0.731806,0.487871,0.419137,0.474394,0.737197,0.514825,0.463115,0.424490,0.520974,0.479784,0.487871,0.478437,0.501348,0.478437,0.467655,0.525606,0.540431,0.483827,0.654987,0.540431,0.506739,0.483827,0.493261,0.493261,0.522267,0.514825,0.551213,0.524259,0.448333
AKE44231,0.641379,0.735632,0.745211,0.639328,0.727969,0.701149,0.474396,0.740421,0.652559,0.370690,0.647468,0.710159,0.687377,0.719572,0.557471,0.548419,0.735632,0.709000,0.746169,0.742337,0.744253,0.723180,0.734674,0.737548,0.683367,0.745211,0.735632,0.719945,0.720930,0.725096,0.707708,0.640394,0.629310,0.688377,0.627395,0.666008,0.488462,0.727969,0.486017,0.698113,0.000000,0.504789,0.702107,0.689084,0.670635,0.670961,0.733716,0.669617,0.702488,0.645607,0.685094,0.719349,0.652819,0.641658,0.731801,0.721264,0.747126,0.632139,0.464844,0.677031,0.677678,0.695946,0.724138,0.741379,0.686081,0.712644,0.478303,0.712587,0.322797,0.709325,0.705411,0.534951,0.536489,0.661433,0.724138,0.746169,0.722939,0.726054,0.742337,0.743295,0.740421,0.482759,0.691503,0.468750,0.640625,0.746169,0.724185,0.713904,0.503294,0.465863,0.651132,0.644385,0.647059,0.653280,0.654255,0.655126,0.651132,0.659121,0.694685,0.658211,0.634409,0.663539,0.737548,0.500000,0.707831,0.336788,0.672391,0.656085,0.675359,0.093054,0.125819,0.535112,0.584416,0.655431,0.735632,0.667995,0.686314,0.705473,0.727011,0.649264,0.668033,0.651701,0.667118,0.701266,0.684636,0.662234,0.674967,0.687752,0.699461,0.696774,0.671141,0.713722,0.504599,0.653795,0.666667,0.670213,0.687173,0.669713,0.670715,0.669799,0.678238,0.668883,0.635000
Q69025,0.665025,0.739481,0.742167,0.563241,0.739481,0.732601,0.508213,0.728738,0.666339,0.556849,0.642502,0.661355,0.701183,0.704966,0.585497,0.641304,0.731423,0.717000,0.730528,0.745748,0.749329,0.732319,0.727842,0.748433,0.644289,0.735900,0.735004,0.743169,0.738714,0.734109,0.728729,0.661084,0.666052,0.717435,0.633238,0.691700,0.517308,0.740376,0.513018,0.653639,0.504789,0.000000,0.736355,0.667641,0.704365,0.723489,0.739481,0.706981,0.717413,0.563672,0.707799,0.726406,0.579624,0.573544,0.739481,0.726947,0.740376,0.663117,0.506836,0.650953,0.651652,0.747297,0.740376,0.743062,0.694965,0.703671,0.502411,0.726462,0.505464,0.690476,0.716433,0.498058,0.565089,0.719333,0.727842,0.734109,0.751738,0.742167,0.730528,0.741271,0.760072,0.483811,0.682353,0.503906,0.645433,0.741271,0.736413,0.729947,0.536232,0.538153,0.677763,0.668449,0.675134,0.724230,0.662234,0.668442,0.672437,0.675100,0.699629,0.659546,0.618877,0.664879,0.744852,0.483806,0.728916,0.544041,0.723910,0.664021,0.687093,0.519004,0.508519,0.511236,0.626623,0.654182,0.733214,0.664011,0.663337,0.716418,0.717099,0.633199,0.687158,0.659864,0.740189,0.737975,0.725067,0.656915,0.673657,0.656797,0.725067,0.745806,0.730201,0.697927,0.534823,0.671105,0.719788,0.656915,0.671466,0.733681,0.734143,0.728859,0.656876,0.730053,0.670000
Q6UDK1,0.713300,0.605920,0.549491,0.731225,0.623497,0.404255,0.718841,0.610546,0.717520,0.728955,0.746773,0.721116,0.714990,0.729309,0.786309,0.731225,0.660500,0.720000,0.565217,0.580019,0.547641,0.595745,0.595745,0.602220,0.734469,0.574468,0.658649,0.725410,0.727770,0.568918,0.715716,0.709360,0.744681,0.717435,0.739255,0.717391,0.721154,0.530990,0.727097,0.707547,0.702107,0.736355,0.000000,0.731969,0.705357,0.711596,0.568918,0.702065,0.714428,0.734452,0.717670,0.632031,0.730959,0.731491,0.558742,0.579093,0.636448,0.728945,0.700195,0.720160,0.727728,0.728378,0.555042,0.549491,0.719645,0.601295,0.703954,0.710605,0.712303,0.730159,0.716433,0.706796,0.714990,0.740922,0.542091,0.639223,0.443893,0.560592,0.617021,0.591119,0.580019,0.729880,0.720261,0.704102,0.750000,0.601295,0.711957,0.745989,0.732543,0.725569,0.725699,0.731283,0.719251,0.709505,0.716755,0.723036,0.727031,0.721704,0.741656,0.722296,0.715651,0.717158,0.542091,0.724696,0.714859,0.711140,0.731836,0.743386,0.741851,0.712975,0.722149,0.700843,0.752165,0.727840,0.556892,0.727756,0.725275,0.708458,0.545791,0.694779,0.737705,0.731973,0.737483,0.707595,0.730458,0.715426,0.728702,0.733513,0.727763,0.749677,0.740940,0.722606,0.727989,0.717710,0.726428,0.724734,0.710733,0.720627,0.743590,0.736913,0.744993,0.735372,0.660000
O36363,0.524138,0.722222,0.738791,0.671937,0.716374,0.725146,0.649123,0.735867,0.550197,0.682261,0.659384,0.400398,0.479290,0.510721,0.732943,0.669960,0.730994,0.456000,0.739766,0.735867,0.741715,0.718324,0.717349,0.734893,0.250501,0.738791,0.735867,0.516393,0.500684,0.692982,0.494494,0.523153,0.667641,0.489980,0.670565,0.456522,0.653996,0.734893,0.651072,0.257412,0.689084,0.667641,0.731969,0.000000,0.473214,0.461843,0.737817,0.478859,0.457711,0.668312,0.483712,0.704678,0.673591,0.670286,0.740741,0.724172,0.729045,0.669591,0.653320,0.341023,0.095095,0.512162,0.738791,0.730994,0.483712,0.724172,0.653996,0.463826,0.717349,0.464286,0.460922,0.663743,0.657791,0.522080,0.736842,0.727096,0.755710,0.738791,0.728070,0.735867,0.734893,0.707602,0.505882,0.649414,0.662260,0.737817,0.480978,0.377005,0.724638,0.645248,0.544607,0.553476,0.536096,0.546185,0.538564,0.544607,0.537949,0.549933,0.583436,0.543391,0.660693,0.513405,0.737817,0.710526,0.509036,0.678756,0.515192,0.539683,0.528031,0.707733,0.709043,0.668539,0.784632,0.263421,0.740741,0.486056,0.390609,0.458706,0.728070,0.441767,0.456284,0.414966,0.518268,0.513924,0.471698,0.482713,0.528178,0.476447,0.456873,0.532903,0.530201,0.477789,0.729304,0.545939,0.501992,0.470745,0.489529,0.507833,0.511471,0.515436,0.530040,0.515957,0.450000
P52367,0.473214,0.728175,0.717262,0.682540,0.714286,0.712302,0.671627,0.715278,0.530754,0.692460,0.672294,0.458167,0.427579,0.476190,0.688492,0.664683,0.710317,0.326000,0.740079,0.716270,0.720238,0.720238,0.719246,0.731151,0.466934,0.734127,0.717262,0.468579,0.432285,0.689484,0.419419,0.473214,0.666667,0.382766,0.666667,0.431548,0.666667,0.718254,0.662698,0.478437,0.670635,0.704365,0.705357,0.473214,0.000000,0.433532,0.716270,0.169643,0.407960,0.673611,0.428571,0.691468,0.670635,0.675595,0.720238,0.719246,0.725198,0.677579,0.666667,0.442327,0.471471,0.483784,0.715278,0.719246,0.426587,0.696429,0.659722,0.440476,0.715278,0.298611,0.414830,0.713294,0.660714,0.478175,0.712302,0.718254,0.741807,0.709325,0.725198,0.736111,0.716270,0.653770,0.435294,0.657738,0.676683,0.727183,0.380435,0.485294,0.681159,0.676037,0.504660,0.502674,0.510695,0.502008,0.492021,0.494008,0.501997,0.495340,0.535229,0.479306,0.673835,0.489276,0.714286,0.661943,0.422691,0.693005,0.471598,0.519841,0.499348,0.698558,0.697248,0.672753,0.731602,0.468165,0.719246,0.440903,0.453546,0.397015,0.717262,0.428380,0.453552,0.468027,0.484438,0.232911,0.405660,0.422872,0.484928,0.432032,0.222372,0.517419,0.495302,0.436508,0.684625,0.495340,0.460823,0.425532,0.429319,0.430809,0.468286,0.469799,0.496662,0.465426,0.390000
P24907,0.505451,0.708622,0.729435,0.661051,0.697721,0.717542,0.656095,0.732408,0.530228,0.679881,0.655412,0.442231,0.405352,0.457879,0.688801,0.662042,0.727453,0.389000,0.722498,0.732408,0.735382,0.718533,0.718533,0.729435,0.452906,0.728444,0.714569,0.457650,0.456908,0.679881,0.454454,0.501487,0.673935,0.434870,0.660059,0.404361,0.662042,0.727453,0.656095,0.487871,0.670961,0.723489,0.711596,0.461843,0.433532,0.000000,0.713578,0.460852,0.397015,0.670961,0.397423,0.704658,0.676908,0.664024,0.717542,0.724480,0.731417,0.664024,0.663033,0.458375,0.462462,0.424324,0.725471,0.729435,0.418236,0.698712,0.659068,0.124876,0.725471,0.406746,0.375752,0.678890,0.650149,0.463826,0.710605,0.727453,0.751738,0.728444,0.716551,0.720515,0.730426,0.671952,0.437908,0.661051,0.664663,0.730426,0.406250,0.487968,0.675889,0.662651,0.523302,0.522727,0.522727,0.512718,0.518617,0.512650,0.507324,0.520639,0.557478,0.507343,0.670251,0.461126,0.726462,0.678138,0.443775,0.680052,0.458388,0.510582,0.468057,0.688073,0.689384,0.658708,0.798701,0.475655,0.725471,0.430279,0.440559,0.392040,0.722498,0.420348,0.382514,0.463946,0.435724,0.496203,0.419137,0.409574,0.477064,0.410498,0.411051,0.496774,0.495302,0.417245,0.667543,0.513981,0.398406,0.418883,0.425393,0.449086,0.473684,0.472483,0.499332,0.486702,0.376667
BAP00709,0.724138,0.507054,0.271255,0.741107,0.514843,0.574176,0.722705,0.512563,0.727362,0.751066,0.749752,0.723108,0.718935,0.731256,0.779757,0.750988,0.368908,0.734000,0.350490,0.281781,0.293117,0.475410,0.472131,0.506557,0.737475,0.531984,0.466003,0.766393,0.741450,0.573322,0.743744,0.726108,0.760148,0.738477,0.736390,0.716403,0.729808,0.262542,0.726133,0.741240,0.733716,0.739481,0.568918,0.737817,0.716270,0.713578,0.000000,0.719764,0.725373,0.749260,0.724580,0.606292,0.735905,0.741362,0.341700,0.458640,0.518219,0.757018,0.730469,0.718154,0.736737,0.716216,0.288259,0.270445,0.706811,0.655083,0.729026,0.723489,0.748634,0.727183,0.726453,0.734951,0.729783,0.728165,0.374899,0.527126,0.672294,0.285481,0.544369,0.540249,0.543697,0.729880,0.707190,0.735352,0.729567,0.532618,0.733696,0.735294,0.737813,0.734940,0.744341,0.745989,0.732620,0.755020,0.740691,0.737683,0.735020,0.733688,0.765142,0.740988,0.747909,0.747989,0.274494,0.706478,0.723896,0.744819,0.746367,0.750000,0.754889,0.736566,0.750983,0.755618,0.760823,0.725343,0.355078,0.746348,0.717283,0.727363,0.512715,0.694779,0.741803,0.725170,0.738836,0.749367,0.734501,0.730053,0.748362,0.722746,0.753369,0.756129,0.722148,0.717670,0.727989,0.737683,0.741036,0.731383,0.702880,0.732376,0.742240,0.746309,0.742323,0.726064,0.696667
YP_009118399,0.466995,0.717797,0.714848,0.683794,0.715831,0.715831,0.668633,0.731563,0.506890,0.667650,0.667329,0.457171,0.425049,0.472960,0.712881,0.665020,0.723697,0.366000,0.732547,0.723697,0.728614,0.716814,0.705998,0.720747,0.459920,0.732547,0.719764,0.482240,0.489740,0.692232,0.474474,0.467980,0.669617,0.431864,0.671583,0.423913,0.684366,0.714848,0.692232,0.473046,0.669617,0.706981,0.702065,0.478859,0.169643,0.460852,0.719764,0.000000,0.429851,0.676209,0.433366,0.697148,0.670623,0.678184,0.722714,0.714848,0.718781,0.677483,0.671583,0.443330,0.471471,0.508108,0.718781,0.718781,0.436328,0.697148,0.657817,0.465808,0.653884,0.338294,0.438878,0.708948,0.655819,0.502458,0.688299,0.719764,0.745780,0.715831,0.704031,0.733530,0.730580,0.699115,0.466667,0.658800,0.680288,0.723697,0.414402,0.477273,0.667984,0.658635,0.500666,0.509358,0.512032,0.503347,0.490691,0.495340,0.496671,0.490013,0.540173,0.487316,0.671446,0.494638,0.719764,0.711538,0.456827,0.693005,0.472919,0.537037,0.511082,0.694626,0.695937,0.675562,0.724026,0.461923,0.727630,0.448871,0.450549,0.421891,0.717797,0.424364,0.459016,0.455782,0.507442,0.226582,0.440701,0.430851,0.496723,0.445491,0.265499,0.512258,0.497987,0.443238,0.674113,0.494008,0.472776,0.432181,0.443717,0.459530,0.472335,0.485906,0.519359,0.473404,0.393333
AIA82756,0.507463,0.711443,0.734328,0.660697,0.716418,0.713433,0.717413,0.745274,0.520398,0.668657,0.665672,0.458167,0.403980,0.446766,0.703483,0.657711,0.713433,0.381000,0.732338,0.730348,0.729353,0.722388,0.721393,0.735323,0.460922,0.741294,0.729353,0.431694,0.439124,0.693532,0.430430,0.497512,0.672637,0.445892,0.669652,0.396020,0.663682,0.730348,0.657711,0.479784,0.702488,0.717413,0.714428,0.457711,0.407960,0.397015,0.725373,0.429851,0.000000,0.668657,0.401990,0.698507,0.665672,0.663682,0.731343,0.729353,0.735323,0.667662,0.698507,0.454363,0.458458,0.397297,0.733333,0.730348,0.416915,0.711443,0.703483,0.404975,0.683582,0.393035,0.386774,0.679602,0.649751,0.458706,0.726368,0.733333,0.736318,0.732338,0.733333,0.738308,0.732338,0.712438,0.436601,0.700498,0.665865,0.731343,0.406250,0.490642,0.673254,0.673360,0.529960,0.516043,0.505348,0.516734,0.513298,0.517976,0.519308,0.519308,0.559951,0.496662,0.667861,0.442359,0.731343,0.660931,0.442771,0.693005,0.451783,0.501323,0.494133,0.686763,0.693316,0.668539,0.748918,0.450687,0.728358,0.419655,0.458541,0.133333,0.730348,0.414993,0.424863,0.458503,0.410014,0.479747,0.303235,0.420213,0.458716,0.288022,0.412399,0.485161,0.495302,0.416915,0.749014,0.519308,0.423639,0.408245,0.430628,0.447781,0.484480,0.479195,0.483311,0.486702,0.368333
YP_073778,0.672261,0.745311,0.738401,0.229249,0.743337,0.737414,0.583416,0.744324,0.684107,0.683119,0.515392,0.655378,0.684107,0.646594,0.713722,0.341897,0.738401,0.661000,0.740375,0.740375,0.749260,0.736426,0.737414,0.753208,0.670341,0.745311,0.745311,0.691257,0.716826,0.710760,0.702703,0.672261,0.638697,0.681363,0.641658,0.666008,0.575518,0.737414,0.576505,0.675202,0.645607,0.563672,0.734452,0.668312,0.673611,0.670961,0.749260,0.676209,0.668657,0.000000,0.683119,0.726555,0.108803,0.098717,0.749260,0.741362,0.753208,0.642646,0.560711,0.664995,0.661662,0.678378,0.753208,0.743337,0.659427,0.745311,0.563672,0.671952,0.579467,0.671627,0.648297,0.583416,0.435341,0.669299,0.725568,0.746298,0.767627,0.748272,0.736426,0.742349,0.765054,0.631787,0.694118,0.556762,0.657452,0.754195,0.682065,0.672460,0.612648,0.591700,0.691079,0.689840,0.675134,0.680054,0.684840,0.688415,0.680426,0.685752,0.707046,0.687583,0.657109,0.668901,0.741362,0.663968,0.689759,0.595855,0.652576,0.667989,0.668840,0.598952,0.598952,0.591292,0.711039,0.672909,0.744324,0.665339,0.665335,0.674627,0.736426,0.627845,0.659836,0.668027,0.675237,0.712658,0.667116,0.676862,0.693316,0.679677,0.694070,0.674839,0.684564,0.663376,0.626807,0.687084,0.695883,0.678191,0.756545,0.693211,0.676113,0.677852,0.675567,0.680851,0.635000
AJE29648,0.506417,0.711747,0.704837,0.677866,0.719645,0.721619,0.656466,0.732478,0.505429,0.685094,0.669315,0.473108,0.066140,0.475814,0.688055,0.662055,0.713722,0.425000,0.728529,0.720632,0.723593,0.706811,0.707799,0.726555,0.478958,0.717670,0.719645,0.471311,0.466484,0.694965,0.463463,0.497532,0.673248,0.447896,0.661402,0.341897,0.701876,0.715696,0.705824,0.512129,0.685094,0.707799,0.717670,0.483712,0.428571,0.397423,0.724580,0.433366,0.401990,0.683119,0.000000,0.681145,0.683482,0.677196,0.721619,0.705824,0.709773,0.680158,0.666338,0.476429,0.482482,0.462162,0.719645,0.719645,0.339585,0.702863,0.671273,0.410307,0.716683,0.428571,0.407816,0.671273,0.649556,0.464956,0.716683,0.708786,0.741807,0.698914,0.728529,0.717670,0.720632,0.699901,0.420915,0.659427,0.668269,0.720632,0.417120,0.495989,0.667984,0.662651,0.528628,0.510695,0.516043,0.516734,0.517287,0.521971,0.512650,0.512650,0.561187,0.503338,0.675030,0.457105,0.714709,0.716599,0.461847,0.702073,0.479524,0.510582,0.490222,0.678899,0.686763,0.661517,0.766234,0.493134,0.722606,0.370518,0.467532,0.403980,0.720632,0.419009,0.452186,0.458503,0.476319,0.487342,0.411051,0.337766,0.467890,0.410498,0.427224,0.503226,0.496644,0.334650,0.734560,0.521971,0.245684,0.344415,0.426702,0.441253,0.481781,0.476510,0.499332,0.474734,0.311667
AJD79498,0.688670,0.572927,0.597712,0.734190,0.565300,0.578646,0.726570,0.590086,0.699803,0.712107,0.729891,0.704183,0.684418,0.714703,0.758818,0.719368,0.558627,0.707000,0.575786,0.586273,0.591992,0.530982,0.530982,0.603432,0.698397,0.583413,0.558627,0.726776,0.723666,0.571020,0.735736,0.681773,0.720686,0.716433,0.738300,0.684783,0.732692,0.588179,0.711668,0.684636,0.719349,0.726406,0.632031,0.704678,0.691468,0.704658,0.606292,0.697148,0.698507,0.726555,0.681145,0.000000,0.736894,0.734452,0.539561,0.544328,0.546235,0.728945,0.702148,0.703109,0.699700,0.717568,0.538608,0.586273,0.684107,0.612965,0.697203,0.705649,0.755005,0.712302,0.706413,0.729126,0.712032,0.706575,0.581506,0.546235,0.619662,0.572927,0.594852,0.577693,0.605338,0.732126,0.718954,0.700195,0.725962,0.598665,0.676630,0.723262,0.712780,0.724230,0.697736,0.687166,0.696524,0.678715,0.683511,0.688415,0.687084,0.683089,0.715698,0.682243,0.715651,0.715818,0.585319,0.731781,0.727912,0.707254,0.718626,0.715608,0.726206,0.698558,0.705111,0.689607,0.725108,0.676654,0.583413,0.689243,0.701299,0.701493,0.546235,0.646586,0.711749,0.685714,0.715832,0.712658,0.698113,0.684840,0.720839,0.694482,0.702156,0.735484,0.684564,0.692991,0.742444,0.688415,0.699867,0.679521,0.718586,0.690601,0.693657,0.693960,0.707610,0.679521,0.638333
AIN81109,0.663699,0.746785,0.739862,0.217606,0.751731,0.733927,0.582591,0.743818,0.684471,0.674580,0.519364,0.659363,0.683482,0.636993,0.714144,0.337290,0.738872,0.657000,0.744807,0.745796,0.749753,0.731949,0.742829,0.740851,0.670341,0.753709,0.748764,0.685792,0.711354,0.727992,0.675676,0.675569,0.638971,0.673347,0.634026,0.661721,0.571711,0.737883,0.573689,0.672507,0.652819,0.579624,0.730959,0.673591,0.670635,0.676908,0.735905,0.670623,0.665672,0.108803,0.683482,0.736894,0.000000,0.105836,0.746785,0.741840,0.755687,0.639960,0.560831,0.662989,0.663664,0.682432,0.750742,0.744807,0.660732,0.739862,0.568744,0.671952,0.575668,0.667659,0.642285,0.588526,0.435213,0.662710,0.735905,0.757666,0.763654,0.744807,0.738872,0.747774,0.758655,0.635015,0.683660,0.556874,0.658654,0.734916,0.665761,0.672460,0.613966,0.580991,0.688415,0.691176,0.677807,0.681392,0.684840,0.691079,0.685752,0.689747,0.710754,0.683578,0.663082,0.660858,0.744807,0.667004,0.679719,0.595855,0.638045,0.660053,0.662321,0.584535,0.588467,0.594101,0.714286,0.676654,0.752720,0.666667,0.669331,0.670647,0.737883,0.618474,0.657104,0.662585,0.673884,0.703797,0.667116,0.682181,0.678899,0.671602,0.687332,0.678710,0.689933,0.667656,0.626807,0.688415,0.687915,0.678191,0.687173,0.686684,0.680162,0.676510,0.667557,0.680851,0.636667
