species,QCH41361__MK643151.1,QCE20585__MH340498.1,QBO56618__MK543949.1,YP_009552708__MF998085,QAY29280__MH614323.1,AZU96659__MK182384.1,Q90054__undef,O71153__undef,Q90185__undef,P27454__undef,AIU96359__KF907321.1,AYH52678__MH550148.1,AXQ04869__MH188047.1,AXQ04865__MH188046.1,AXQ04862__MH188045.1,AXQ04855__MH188043.1,AXQ04852__MH188042.1,YP_009362129__FJ040397,NP_542609__AY033435,AXL93742__MF673888.1,YP_009310053__KU727766,YP_009256211__KX165268,YP_009134732__KP410261,YP_009021036__KF963252,YP_008766862__KC991097,YP_008658568__KF275669,YP_007003823__JX645046,YP_006589928__JX110122,YP_006576512__JX020762,YP_004678720__HQ613271,YP_004222723__GU452720,YP_003572961__AF218266,YP_002887625__FJ810126,YP_002854229__FJ360744,YP_002308470__FJ410797,YP_002265406__EU233812,YP_271915__DQ002873,YP_227600__AX344110,YP_164339__AY665654,NP_958099__AY461507,NP_899650__L32896,NP_874381__AY189948,NP_694838__AF375296,NP_694843__AY032882,NP_694834__AB042597,NP_051020__AF192260,AWV66983__MG693113.1,AWV66980__MG693112.1,AWV66978__MG693111.1,AWV66976__MG693110.1,AWV66973__MG693109.1,AWS20449__MF083940.1,P05840__undef,AWA28230__MG963176.1,AVM80379__MF094135.1,AOS51057__KT962050.1,ARI46485__KY548841.1,ARI46481__KY548840.1,ASU47551__KX774632.1,ASM93489__KY214444.1,ARV85915__KX145610.1,ARV85890__KX145609.1,ARV85889__KX145609.1,ARV85888__KX145609.1,ARV85887__KX145609.1,ARV85886__KX145609.1,AIQ82699__KM052275.1,AQN78650__KX648536.1,AQN78648__KX648535.1,APA19411__KX603698.1,ANG55949__KX035107.1,AAR11281__AY355306.1,ANN89695__KU373072.1,AND61496__KU215794.1,AAM28234__AY102034.1,ALS03998__KT316253.1,ALS03995__KT316252.1,ALS03992__KT316251.1,ALS03989__KT316250.1,ALS03986__KT316249.1,ALS03967__KT316259.1,ALS03963__KT316257.1,ALS03957__KT316255.1,ALS03954__KT316254.1,ALS03905__KT316245.1,ALS03902__KT316244.1,ALL74042__KT239104.1,ALK24441__KR492913.1,ALK24438__KR492912.1,ALK24429__KR492909.1,ALE60551__KP733862.1,ALE60548__KP733861.1,ALE60546__KP733860.1,ALE60543__KP733859.1,ALE60540__KP733858.1,ALE60537__KP733857.1,AKE98354__KM272863.1,AJD76763__KM593913.1,AJI02597__KM975734.1,AIT71975__KM576800.1,AIY34702__KM485614.1,AIJ28503__KJ830753.1,AIJ19291__KJ862253.1,ADB12609__GQ475529.1,AAM93906__AY124937.1,AAG10007__AF273215.1,AGW23423__KF214742.1,AGO32215__KF015280.1,AGO32210__KF015279.1,AGO32205__KF015278.1,AGO32190__KF015275.1,AFK91980__JQ894784.1,AFH02761__JN857346.1,AFC75858__JQ320376.1,AEV46269__JN377975.1,AFA36168__JN616415.1,ADK63426__GU371276.1,AAR15382__AY362548.1,AAR15379__AY362547.1,AAR11285__AY355307.1,ABU95011__EF579771.1,ABU94996__EF579766.1,ABU94990__EF579764.1,ABU94987__EF579763.1,ABU94984__EF579762.1,ABU94966__EF579756.1,ABR23509__EF633688.1,AAM28943__AY095351.2,ACS70953__FJ805445.1,AAP78907__AY310877.1,AAN41665__AY148187.1,AAT35223__AY605055.1,ACG50803__EU851411.1,ACV52075__GQ411199.1
AIU96359__KF907321.1,0.872038,0.870787,0.893186,0.892157,0.875862,0.813814,0.880734,0.877064,0.807808,0.816817,0.000000,0.807808,0.805153,0.813814,0.813814,0.880562,0.818318,0.902402,0.885886,0.823795,0.870544,0.869369,0.884283,0.873874,0.885870,0.878788,0.877256,0.885886,0.894895,0.885886,0.816817,0.007508,0.866788,0.815315,0.871750,0.815315,0.868739,0.869792,0.873874,0.873394,0.867647,0.871698,0.894895,0.897887,0.884384,0.866171,0.838428,0.841121,0.876877,0.876877,0.879479,0.900800,0.890110,0.894895,0.815315,0.045181,0.886792,0.885305,0.876712,0.861053,0.869792,0.894895,0.900901,0.903904,0.877342,0.900885,0.877876,0.876307,0.878307,0.815315,0.875000,0.009009,0.009009,0.034722,0.043544,0.013514,0.018018,0.021021,0.027027,0.025526,0.049550,0.043544,0.009009,0.019520,0.866782,0.866782,0.885886,0.866782,0.865052,0.866782,0.016517,0.009009,0.009009,0.012012,0.045045,0.042042,0.012012,0.173448,0.815315,0.887387,0.009524,0.009009,0.010511,0.036036,0.085586,0.012012,0.019520,0.869792,0.869792,0.869792,0.871528,0.875229,0.851744,0.868668,0.013514,0.076923,0.863322,0.009009,0.039039,0.040541,0.813814,0.813814,0.815315,0.813814,0.813814,0.813814,0.010511,0.815315,0.812312,0.807808,0.885886,0.807808,0.903904,0.087087
AYH52678__MH550148.1,0.883096,0.867041,0.874770,0.890523,0.882759,0.230380,0.882569,0.880734,0.012658,0.225316,0.807808,0.000000,0.022544,0.230380,0.231646,0.892272,0.253165,0.871831,0.889920,0.179217,0.896811,0.886598,0.894646,0.897606,0.894928,0.886869,0.882671,0.893421,0.881806,0.895366,0.226582,0.810811,0.857664,0.234177,0.880416,0.232911,0.887737,0.887153,0.886452,0.880734,0.878676,0.881132,0.893758,0.899648,0.888594,0.892193,0.862445,0.856698,0.898659,0.898507,0.874593,0.888000,0.879121,0.891102,0.450904,0.813253,0.895369,0.896057,0.902397,0.871579,0.887153,0.905080,0.896978,0.889043,0.892675,0.899115,0.897345,0.881533,0.874780,0.213924,0.875000,0.812312,0.810811,0.837963,0.810811,0.810811,0.810811,0.812312,0.810811,0.810811,0.822917,0.809309,0.813814,0.813814,0.896194,0.889273,0.896203,0.894464,0.892734,0.882353,0.809309,0.812312,0.812312,0.812312,0.810811,0.810811,0.810811,0.841542,0.234177,0.882667,0.817143,0.810811,0.809309,0.812312,0.806306,0.822917,0.812312,0.887153,0.887153,0.887153,0.887153,0.889908,0.857558,0.900563,0.810811,0.757576,0.892734,0.810811,0.812312,0.810811,0.226582,0.227848,0.237975,0.227848,0.227848,0.224051,0.812312,0.225316,0.227848,0.035443,0.889685,0.021519,0.869014,0.806306
AXQ04869__MH188047.1,0.867955,0.874532,0.880295,0.898693,0.894253,0.173913,0.880734,0.884404,0.022544,0.169082,0.805153,0.022544,0.000000,0.170692,0.172303,0.892272,0.201288,0.880837,0.892110,0.170692,0.898687,0.885668,0.892919,0.893720,0.902174,0.884848,0.884477,0.896940,0.896940,0.882448,0.169082,0.808374,0.866788,0.170692,0.883882,0.175523,0.891192,0.888889,0.888889,0.878899,0.871324,0.879245,0.893720,0.892606,0.892110,0.897770,0.855895,0.869159,0.887279,0.895330,0.877850,0.887279,0.890110,0.896940,0.404187,0.809984,0.886792,0.896057,0.890411,0.873684,0.888889,0.901771,0.903382,0.900161,0.899489,0.892035,0.902655,0.885017,0.874780,0.164251,0.880282,0.808374,0.808374,0.858796,0.808374,0.808374,0.808374,0.808374,0.811594,0.809984,0.808374,0.808374,0.811594,0.811594,0.897924,0.892734,0.895330,0.891003,0.889273,0.892734,0.806763,0.809984,0.809984,0.809984,0.808374,0.808374,0.809984,0.869379,0.185185,0.895330,0.836190,0.808374,0.806763,0.808374,0.806763,0.806763,0.816425,0.888889,0.888889,0.888889,0.888889,0.888073,0.863372,0.902439,0.809984,0.759907,0.892734,0.808374,0.809984,0.808374,0.170692,0.170692,0.185185,0.172303,0.172303,0.170692,0.808374,0.170692,0.170692,0.022544,0.893720,0.012882,0.895330,0.814815
AXQ04865__MH188046.1,0.867299,0.867041,0.867403,0.887255,0.885057,0.020228,0.880734,0.889908,0.236410,0.065740,0.813814,0.230380,0.170692,0.000000,0.001264,0.889930,0.031606,0.878873,0.895225,0.021084,0.883677,0.871870,0.875648,0.904255,0.885870,0.890909,0.893502,0.896053,0.885790,0.874439,0.061947,0.816817,0.864964,0.034134,0.892548,0.027813,0.891192,0.897569,0.901935,0.884404,0.886029,0.877358,0.893758,0.887324,0.893899,0.881041,0.858079,0.856698,0.894188,0.894030,0.871336,0.889600,0.887912,0.901726,0.445736,0.817771,0.871355,0.892473,0.876712,0.863158,0.897569,0.887701,0.903846,0.894591,0.885860,0.890265,0.884956,0.890244,0.871252,0.053097,0.873239,0.818318,0.818318,0.835648,0.816817,0.816817,0.816817,0.818318,0.818318,0.818318,0.833333,0.816817,0.819820,0.822823,0.882353,0.889273,0.897598,0.887543,0.884083,0.882353,0.813814,0.818318,0.819820,0.818318,0.815315,0.816817,0.816817,0.843683,0.163085,0.896000,0.822857,0.816817,0.816817,0.816817,0.818318,0.830729,0.818318,0.897569,0.897569,0.897569,0.897569,0.893578,0.840116,0.894934,0.816817,0.771562,0.882353,0.816817,0.816817,0.816817,0.018963,0.022756,0.034134,0.020228,0.018963,0.018963,0.816817,0.103666,0.021492,0.232911,0.888252,0.232911,0.880282,0.819820
AXQ04862__MH188045.1,0.868878,0.863296,0.867403,0.885621,0.882759,0.018963,0.886239,0.889908,0.247205,0.065675,0.813814,0.231646,0.172303,0.001264,0.000000,0.887588,0.030979,0.878873,0.895225,0.019578,0.881801,0.871870,0.891192,0.905585,0.885870,0.890909,0.893502,0.893421,0.887118,0.877429,0.061958,0.816817,0.864964,0.032218,0.890815,0.026549,0.889465,0.894097,0.895484,0.884404,0.886029,0.877358,0.908367,0.890845,0.893899,0.895911,0.855895,0.856698,0.892697,0.894030,0.874593,0.886400,0.887912,0.899070,0.445736,0.817771,0.871355,0.890681,0.876712,0.863158,0.894097,0.897059,0.895604,0.893204,0.885860,0.884956,0.884956,0.890244,0.871252,0.054224,0.875000,0.818318,0.818318,0.835648,0.816817,0.816817,0.816817,0.818318,0.818318,0.818318,0.832031,0.816817,0.819820,0.822823,0.882353,0.889273,0.898241,0.880623,0.884083,0.882353,0.813814,0.818318,0.819820,0.818318,0.815315,0.816817,0.816817,0.843683,0.163085,0.880000,0.822857,0.816817,0.816817,0.816817,0.818318,0.830729,0.818318,0.897569,0.897569,0.894097,0.894097,0.893578,0.840116,0.893058,0.816817,0.771562,0.882353,0.816817,0.816817,0.816817,0.017699,0.021492,0.032870,0.018963,0.017699,0.017699,0.816817,0.104666,0.020228,0.234177,0.888252,0.234177,0.880282,0.819820
AXQ04855__MH188043.1,0.850117,0.833724,0.847775,0.833724,0.871194,0.889930,0.791569,0.796253,0.892272,0.894614,0.880562,0.892272,0.892272,0.889930,0.887588,0.000000,0.887588,0.796253,0.805621,0.894614,0.201405,0.807963,0.772834,0.807963,0.819672,0.871194,0.791569,0.812646,0.803279,0.789227,0.896956,0.878220,0.812646,0.889930,0.906323,0.894614,0.908665,0.852459,0.807963,0.784543,0.779859,0.461358,0.810304,0.826698,0.805621,0.765808,0.906323,0.844237,0.873536,0.873536,0.859485,0.782201,0.901639,0.812646,0.892272,0.875878,0.803279,0.763466,0.843091,0.854801,0.852459,0.826698,0.826698,0.826698,0.826698,0.826698,0.763466,0.796253,0.805621,0.892272,0.850117,0.878220,0.878220,0.899297,0.875878,0.878220,0.878220,0.878220,0.880562,0.878220,0.875878,0.875878,0.878220,0.880562,0.911007,0.901639,0.814988,0.911007,0.911007,0.908665,0.875878,0.878220,0.878220,0.878220,0.875878,0.875878,0.878220,0.887588,0.896956,0.805621,0.878220,0.878220,0.878220,0.880562,0.875878,0.878220,0.880562,0.852459,0.852459,0.852459,0.852459,0.791569,0.831395,0.194379,0.880562,0.906323,0.901639,0.880562,0.875878,0.875878,0.892272,0.892272,0.892272,0.892272,0.892272,0.892272,0.878220,0.894614,0.894614,0.894614,0.812646,0.892272,0.796253,0.875878
AXQ04852__MH188042.1,0.868878,0.853933,0.872928,0.867647,0.880460,0.048040,0.884404,0.897248,0.268323,0.089517,0.818318,0.253165,0.201288,0.031606,0.030979,0.887588,0.000000,0.883099,0.891247,0.051205,0.885553,0.877761,0.891192,0.906915,0.887681,0.880808,0.891697,0.888158,0.900398,0.877429,0.085984,0.819820,0.870438,0.048292,0.896014,0.055626,0.894646,0.892361,0.880000,0.886239,0.887868,0.883019,0.885790,0.890845,0.891247,0.895911,0.866812,0.859813,0.898659,0.898507,0.872964,0.880000,0.879121,0.900398,0.462532,0.820783,0.878216,0.892473,0.900685,0.865263,0.897569,0.893048,0.895604,0.889043,0.896082,0.892035,0.893805,0.876307,0.885362,0.074401,0.873239,0.821321,0.821321,0.835648,0.819820,0.819820,0.819820,0.821321,0.821321,0.821321,0.832031,0.819820,0.822823,0.825826,0.884083,0.889273,0.902010,0.894464,0.880623,0.878893,0.816817,0.821321,0.822823,0.819820,0.818318,0.819820,0.819820,0.841542,0.185841,0.881333,0.824762,0.819820,0.819820,0.819820,0.821321,0.830729,0.821321,0.892361,0.892361,0.897569,0.897569,0.897248,0.837209,0.885553,0.819820,0.778555,0.885813,0.819820,0.819820,0.819820,0.046776,0.050569,0.061947,0.048040,0.046776,0.046776,0.821321,0.123581,0.049305,0.256962,0.886819,0.256962,0.881690,0.819820
YP_009362129__FJ040397,0.832543,0.823970,0.819521,0.794118,0.829885,0.878873,0.755963,0.763303,0.874648,0.880282,0.902402,0.871831,0.880837,0.878873,0.878873,0.796253,0.883099,0.000000,0.829577,0.905120,0.772983,0.790869,0.721934,0.829577,0.791667,0.820202,0.759928,0.835211,0.839437,0.834081,0.880282,0.879880,0.755474,0.880282,0.875217,0.880282,0.875648,0.835069,0.819718,0.752294,0.757353,0.764151,0.843662,0.786972,0.829577,0.715613,0.838428,0.323988,0.867362,0.865672,0.846906,0.633600,0.890110,0.845070,0.878873,0.885542,0.778731,0.718638,0.820205,0.802105,0.833333,0.812676,0.815493,0.809859,0.795571,0.784071,0.722124,0.839721,0.772487,0.877465,0.808099,0.906907,0.900901,0.884259,0.885886,0.879880,0.884384,0.908408,0.908408,0.878378,0.885915,0.887387,0.902402,0.902402,0.873702,0.877163,0.701408,0.873702,0.870242,0.868512,0.881381,0.881381,0.902402,0.909910,0.884384,0.885886,0.884384,0.888651,0.877465,0.828169,0.891429,0.906907,0.900901,0.887387,0.885886,0.881690,0.909910,0.833333,0.833333,0.833333,0.833333,0.757798,0.706395,0.774859,0.879880,0.855478,0.870242,0.908408,0.884384,0.885886,0.901408,0.902817,0.900000,0.900000,0.901408,0.901408,0.908408,0.878873,0.892958,0.876056,0.710602,0.876056,0.032394,0.882883
NP_542609__AY033435,0.840442,0.810861,0.782689,0.820261,0.882759,0.896552,0.790826,0.800000,0.892573,0.889920,0.885886,0.889920,0.892110,0.895225,0.895225,0.805621,0.891247,0.829577,0.000000,0.894578,0.774859,0.820324,0.801382,0.183511,0.826087,0.830303,0.801444,0.287798,0.204515,0.721973,0.891247,0.884384,0.819343,0.891247,0.904679,0.896552,0.898100,0.850694,0.643236,0.803670,0.803309,0.784906,0.196547,0.846831,0.002653,0.817844,0.831878,0.781931,0.906110,0.905970,0.868078,0.828800,0.624176,0.208499,0.887268,0.878012,0.819897,0.792115,0.827055,0.812632,0.850694,0.862299,0.859890,0.852982,0.844974,0.842478,0.796460,0.822300,0.820106,0.892573,0.778169,0.884384,0.882883,0.893519,0.884384,0.882883,0.882883,0.884384,0.876877,0.885886,0.883289,0.885886,0.885886,0.885886,0.908304,0.903114,0.846154,0.903114,0.904844,0.910035,0.885886,0.884384,0.884384,0.884384,0.885886,0.885886,0.882883,0.888651,0.897878,0.224000,0.900952,0.884384,0.884384,0.884384,0.878378,0.883289,0.885886,0.850694,0.850694,0.850694,0.852431,0.805505,0.773256,0.776735,0.884384,0.876457,0.904844,0.884384,0.885886,0.885886,0.903183,0.904509,0.904509,0.896552,0.903183,0.903183,0.884384,0.893899,0.903183,0.903183,0.842407,0.889920,0.829577,0.884384
AXL93742__MF673888.1,0.867299,0.867041,0.871087,0.887255,0.894253,0.018072,0.878899,0.889908,0.185241,0.055723,0.823795,0.179217,0.170692,0.021084,0.019578,0.894614,0.051205,0.905120,0.894578,0.000000,0.889306,0.893072,0.887737,0.894578,0.889493,0.890909,0.891697,0.900602,0.906627,0.897590,0.052711,0.826807,0.868613,0.018072,0.892548,0.024096,0.892919,0.895833,0.888554,0.882569,0.882353,0.877358,0.902108,0.882042,0.896084,0.877323,0.864629,0.856698,0.888554,0.888554,0.868078,0.889600,0.876923,0.893072,0.415663,0.826807,0.879931,0.887097,0.876712,0.869474,0.895833,0.903614,0.911145,0.900602,0.885860,0.883186,0.900885,0.890244,0.873016,0.043675,0.882042,0.826807,0.826807,0.842593,0.825301,0.826807,0.826807,0.826807,0.826807,0.826807,0.825301,0.825301,0.829819,0.832831,0.896194,0.889273,0.902108,0.894464,0.892734,0.889273,0.825301,0.828313,0.829819,0.828313,0.823795,0.825301,0.826807,0.858672,0.143072,0.893072,0.834286,0.826807,0.825301,0.823795,0.829819,0.825301,0.826807,0.895833,0.895833,0.895833,0.895833,0.891743,0.857558,0.891182,0.826807,0.773893,0.892734,0.826807,0.825301,0.825301,0.019578,0.022590,0.036145,0.019578,0.019578,0.018072,0.826807,0.079819,0.022590,0.183735,0.897590,0.180723,0.897590,0.828313
YP_009310053__KU727766,0.780488,0.819887,0.793621,0.791745,0.873563,0.879925,0.727955,0.724203,0.898687,0.893058,0.870544,0.896811,0.898687,0.883677,0.881801,0.201405,0.885553,0.772983,0.774859,0.889306,0.000000,0.772983,0.714822,0.771107,0.825516,0.840404,0.727955,0.782364,0.774859,0.759850,0.891182,0.870544,0.759850,0.887430,0.898687,0.885553,0.893058,0.810507,0.765478,0.727955,0.720450,0.432075,0.771107,0.804878,0.774859,0.722326,0.831878,0.722741,0.844278,0.844278,0.838649,0.780488,0.892308,0.772983,0.887430,0.870544,0.757974,0.729831,0.816135,0.797895,0.810507,0.812383,0.810507,0.814259,0.812383,0.810507,0.718574,0.787992,0.748593,0.883677,0.793621,0.870544,0.872420,0.900463,0.868668,0.870544,0.868668,0.870544,0.870544,0.870544,0.870544,0.868668,0.872420,0.868668,0.896811,0.885553,0.789869,0.894934,0.896811,0.896811,0.870544,0.870544,0.870544,0.870544,0.868668,0.870544,0.870544,0.895075,0.883677,0.774859,0.893333,0.870544,0.870544,0.868668,0.870544,0.870544,0.870544,0.810507,0.810507,0.810507,0.810507,0.754221,0.709302,0.013133,0.872420,0.871795,0.894934,0.872420,0.868668,0.868668,0.885553,0.883677,0.893058,0.883677,0.883677,0.881801,0.870544,0.896811,0.885553,0.902439,0.787992,0.902439,0.772983,0.874296
YP_009256211__KX165268,0.834123,0.780899,0.782689,0.743464,0.804598,0.874816,0.761468,0.763303,0.879234,0.882180,0.869369,0.886598,0.885668,0.871870,0.871870,0.807963,0.877761,0.790869,0.820324,0.893072,0.772983,0.000000,0.744387,0.795287,0.809783,0.795960,0.761733,0.810015,0.799705,0.780269,0.883652,0.869369,0.757299,0.885125,0.887348,0.876289,0.896373,0.803819,0.779087,0.761468,0.759191,0.767925,0.790869,0.767606,0.820324,0.732342,0.836245,0.704050,0.859911,0.859701,0.846906,0.801600,0.883516,0.795287,0.882180,0.865964,0.754717,0.729391,0.804795,0.743158,0.803819,0.798233,0.805596,0.798233,0.783646,0.771681,0.750442,0.810105,0.777778,0.882180,0.764085,0.869369,0.869369,0.870370,0.866366,0.867868,0.866366,0.866366,0.864865,0.864865,0.865979,0.864865,0.870871,0.870871,0.892734,0.887543,0.804124,0.892734,0.885813,0.887543,0.869369,0.869369,0.869369,0.870871,0.866366,0.864865,0.869369,0.886510,0.882180,0.799705,0.878095,0.869369,0.869369,0.866366,0.867868,0.868925,0.869369,0.803819,0.805556,0.805556,0.805556,0.755963,0.758721,0.772983,0.867868,0.855478,0.885813,0.870871,0.864865,0.864865,0.874816,0.882180,0.882180,0.874816,0.882180,0.882180,0.867868,0.886598,0.883652,0.882180,0.805596,0.882180,0.793814,0.867868
YP_009134732__KP410261,0.799655,0.816479,0.793738,0.787565,0.845977,0.892919,0.721101,0.721101,0.894646,0.889465,0.884283,0.894646,0.892919,0.875648,0.891192,0.772834,0.891192,0.721934,0.801382,0.887737,0.714822,0.744387,0.000000,0.797927,0.809783,0.800000,0.725632,0.803109,0.796200,0.773748,0.879102,0.868739,0.737226,0.891192,0.887348,0.872193,0.889465,0.795139,0.773748,0.715596,0.726103,0.718868,0.797927,0.781690,0.801382,0.717472,0.847162,0.626168,0.842832,0.837651,0.832470,0.711572,0.896703,0.792746,0.868739,0.870466,0.578584,0.394265,0.796200,0.781053,0.793403,0.785838,0.784111,0.780656,0.784111,0.778761,0.322124,0.810105,0.772487,0.882556,0.795775,0.868739,0.870466,0.895833,0.868739,0.884283,0.898100,0.868739,0.868739,0.868739,0.868739,0.868739,0.886010,0.886010,0.892734,0.889273,0.734024,0.894464,0.889273,0.889273,0.872193,0.868739,0.868739,0.870466,0.867012,0.868739,0.870466,0.882227,0.880829,0.796200,0.893333,0.868739,0.868739,0.867012,0.879102,0.867012,0.872193,0.793403,0.791667,0.791667,0.793403,0.719266,0.677326,0.716698,0.870466,0.867133,0.891003,0.868739,0.870466,0.870466,0.875648,0.875648,0.879102,0.894646,0.894646,0.873921,0.868739,0.877375,0.894646,0.894646,0.739206,0.896373,0.720207,0.899827
YP_009021036__KF963252,0.846761,0.816479,0.804788,0.823529,0.868966,0.904255,0.798165,0.803670,0.885638,0.889628,0.873874,0.897606,0.893720,0.904255,0.905585,0.807963,0.906915,0.829577,0.183511,0.894578,0.771107,0.795287,0.797927,0.000000,0.835145,0.820202,0.805054,0.228723,0.079787,0.729447,0.893617,0.878378,0.813869,0.890957,0.899480,0.901596,0.903282,0.848958,0.647606,0.801835,0.803309,0.788679,0.074468,0.838028,0.183511,0.799257,0.853712,0.760125,0.882265,0.882090,0.864821,0.841600,0.714286,0.109043,0.902926,0.878012,0.816467,0.806452,0.830479,0.806316,0.850694,0.859626,0.859890,0.862691,0.844974,0.838938,0.808850,0.837979,0.825397,0.902926,0.786972,0.878378,0.878378,0.886574,0.876877,0.876877,0.878378,0.878378,0.876877,0.875375,0.880319,0.878378,0.878378,0.878378,0.904844,0.903114,0.843085,0.903114,0.904844,0.908304,0.881381,0.876877,0.876877,0.876877,0.876877,0.876877,0.878378,0.888651,0.894947,0.154667,0.895238,0.878378,0.879880,0.876877,0.885886,0.880319,0.881381,0.850694,0.842014,0.850694,0.850694,0.811009,0.776163,0.771107,0.878378,0.855478,0.903114,0.878378,0.885886,0.878378,0.904255,0.904255,0.904255,0.904255,0.904255,0.904255,0.878378,0.904255,0.904255,0.900266,0.848138,0.897606,0.826761,0.881381
YP_008766862__KC991097,0.824275,0.805243,0.826888,0.813406,0.859770,0.885870,0.779817,0.776147,0.891304,0.885870,0.885870,0.894928,0.902174,0.885870,0.885870,0.819672,0.887681,0.791667,0.826087,0.889493,0.825516,0.809783,0.809783,0.835145,0.000000,0.836364,0.786232,0.851449,0.829710,0.838768,0.885870,0.893116,0.757299,0.884058,0.894928,0.889493,0.896739,0.597826,0.842391,0.774312,0.775735,0.809434,0.842391,0.603261,0.836957,0.791822,0.829694,0.753894,0.856884,0.856884,0.844203,0.811594,0.907692,0.827899,0.876812,0.898551,0.822464,0.798913,0.853261,0.789474,0.597826,0.603261,0.603261,0.603261,0.603261,0.603261,0.811594,0.842391,0.764493,0.885870,0.829710,0.884058,0.884058,0.900463,0.894928,0.900362,0.896739,0.882246,0.896739,0.882246,0.893116,0.894928,0.885870,0.894928,0.893116,0.891304,0.835145,0.894928,0.891304,0.887681,0.900362,0.893116,0.891304,0.893116,0.894928,0.894928,0.898551,0.890792,0.882246,0.826087,0.899048,0.898551,0.893116,0.880435,0.900362,0.898551,0.893116,0.599638,0.599638,0.597826,0.597826,0.770642,0.747093,0.827392,0.884058,0.876457,0.889493,0.887681,0.894928,0.894928,0.885870,0.884058,0.884058,0.884058,0.885870,0.885870,0.898551,0.887681,0.884058,0.889493,0.836957,0.889493,0.791667,0.894928
YP_008658568__KF275669,0.852525,0.840404,0.814141,0.818182,0.871264,0.890909,0.832323,0.830303,0.886869,0.890909,0.878788,0.886869,0.884848,0.890909,0.890909,0.871194,0.880808,0.820202,0.830303,0.890909,0.840404,0.795960,0.800000,0.820202,0.836364,0.000000,0.832323,0.820202,0.826263,0.832323,0.888889,0.888889,0.826263,0.890909,0.884848,0.888889,0.890909,0.846465,0.832323,0.832323,0.834343,0.826263,0.840404,0.820202,0.828283,0.832323,0.847162,0.806854,0.824242,0.824242,0.846465,0.828283,0.894505,0.838384,0.878788,0.880808,0.810101,0.814141,0.828283,0.835789,0.844444,0.818182,0.820202,0.820202,0.820202,0.812121,0.802020,0.846465,0.812121,0.888889,0.832323,0.882828,0.882828,0.891204,0.882828,0.876768,0.888889,0.880808,0.882828,0.886869,0.880808,0.880808,0.878788,0.888889,0.892929,0.896970,0.838384,0.892929,0.892929,0.890909,0.882828,0.888889,0.878788,0.878788,0.878788,0.880808,0.888889,0.888651,0.880808,0.822222,0.896970,0.888889,0.888889,0.882828,0.878788,0.892929,0.892929,0.844444,0.844444,0.844444,0.846465,0.836364,0.813953,0.832323,0.886869,0.888112,0.894949,0.888889,0.880808,0.880808,0.890909,0.890909,0.892929,0.890909,0.890909,0.890909,0.878788,0.884848,0.890909,0.890909,0.838384,0.888889,0.822222,0.880808
YP_007003823__JX645046,0.801444,0.812734,0.804788,0.785199,0.871264,0.891697,0.023853,0.077064,0.882671,0.889892,0.877256,0.882671,0.884477,0.893502,0.893502,0.791569,0.891697,0.759928,0.801444,0.891697,0.727955,0.761733,0.725632,0.805054,0.786232,0.832323,0.000000,0.808664,0.810469,0.788809,0.889892,0.875451,0.523723,0.895307,0.904332,0.891697,0.895307,0.768953,0.788809,0.066055,0.075368,0.741509,0.808664,0.783394,0.801444,0.721190,0.834061,0.685358,0.864621,0.864621,0.821300,0.759928,0.896703,0.806859,0.877256,0.880866,0.765343,0.738267,0.808664,0.787368,0.768953,0.785199,0.783394,0.781588,0.783394,0.783394,0.732852,0.817690,0.655235,0.888087,0.794224,0.879061,0.879061,0.884259,0.879061,0.871841,0.871841,0.879061,0.875451,0.880866,0.875451,0.877256,0.879061,0.870036,0.900722,0.889892,0.758123,0.900722,0.902527,0.902527,0.859206,0.877256,0.877256,0.880866,0.877256,0.880866,0.877256,0.895075,0.895307,0.806859,0.897143,0.879061,0.879061,0.875451,0.875451,0.875451,0.884477,0.768953,0.768953,0.768953,0.768953,0.122936,0.590116,0.733583,0.877256,0.874126,0.902527,0.875451,0.877256,0.873646,0.891697,0.891697,0.891697,0.891697,0.891697,0.891697,0.879061,0.880866,0.891697,0.884477,0.761733,0.884477,0.756318,0.884477
YP_006589928__JX110122,0.842022,0.805243,0.802947,0.810458,0.871264,0.898684,0.807339,0.809174,0.890789,0.893421,0.885886,0.893421,0.896940,0.896053,0.893421,0.812646,0.888158,0.835211,0.287798,0.900602,0.782364,0.810015,0.803109,0.228723,0.851449,0.820202,0.808664,0.000000,0.229748,0.724963,0.892105,0.885886,0.821168,0.890789,0.897747,0.896053,0.906736,0.847222,0.660526,0.811009,0.806985,0.784906,0.231076,0.839789,0.287798,0.789963,0.858079,0.769470,0.877794,0.877612,0.863192,0.840000,0.753846,0.244356,0.897368,0.884036,0.814751,0.806452,0.832192,0.808421,0.852431,0.855615,0.855769,0.857143,0.843271,0.838938,0.824779,0.829268,0.814815,0.896053,0.786972,0.884384,0.885886,0.893519,0.882883,0.882883,0.884384,0.884384,0.872372,0.872372,0.890789,0.872372,0.887387,0.879880,0.899654,0.904844,0.836842,0.897924,0.897924,0.896194,0.881381,0.884384,0.885886,0.885886,0.872372,0.872372,0.885886,0.892934,0.896053,0.258667,0.891429,0.885886,0.884384,0.870871,0.884384,0.890789,0.884384,0.845486,0.848958,0.848958,0.845486,0.823853,0.779070,0.778612,0.885886,0.867133,0.897924,0.884384,0.887387,0.873874,0.898684,0.897368,0.897368,0.897368,0.898684,0.897368,0.885886,0.896053,0.898684,0.897368,0.835244,0.897368,0.846479,0.876877
