species,ALA40028,ANO39503,YP_009259490,ANM72090,YP_009256211,YP_009186840,YP_009241376,BAU88511,AGF85783,AAM93275,AAF61213,AAB95451,ADI60256,ADI60252,YP_009229908,AME15910,AME15905,YP_009227290,YP_009215301,ALR74754,Q90185,BAS32608,AKG54800,AIE58040,BAR72999,YP_009130650,YP_009154712,YP_009134732,AIF74198,AJI02597,YP_227600,NP_694834,NP_051020,AIT71975,P27454,AIZ50117,AID57413,AIY27459,AII82250,AIT18928,AIC77176,YP_002887625,AES86015,AEI99170,AEI99166,ADM26648,YP_002916059,ACR15778,ACR15767,ACJ38931,ACF94533,ABK00521,YP_271915,AAU88153,AAG10007,YP_004678720,YP_009010974,AHK26987,AHK26969,AHA86835,YP_008658568,YP_008766862,AGW95844,AGW23423,AGS15085,AGS15077,AGS15053,AGS15039,AGK45548,AGL09957,AGL09956,YP_007003823,AFV48069,AFK85003,YP_164339,NP_874381,NP_694838,NP_694843,YP_006589928,AFH96872,AFK91980,AFD01617,AFC75858,ABV71710,AAA66612,AEX38011,AEX30511,AEQ76796,AEP95278,AEO37421,AEO37417,AEM37643,AEM37606,AEM37593,ACT09660,ADP36995,AAL91012,AAD13755,ADN44566,ADD17085,ADF32027,ADK34009,AAR26464,AAR07954,AAC40229,AAA83224,AAA74973,AAC03775,ADB20207,ADD22705,ACD37375,ABY67706,ABY67682,AAO32086,AAN03856,AAN03854,AAL09673,AAL09671,AAD27758,AAA67108,AAY45700,AAN41665,AAL55416,AAT46336,AAF61212,AAC58044,AAA83229,AAA69566,AAA66866,ACI01073,ACH81927,ACL31580,ABI16638,ABC69727,ABB76814,CAA66227,CAA25689,AIQ82699,ACV52075,U34255,M81888,U34256,AAC40694
AIZ50117,0.829897,0.723368,0.819588,0.726804,0.896907,0.814433,0.821306,0.814433,0.798969,0.817869,0.762887,0.709622,0.804124,0.802405,0.800687,0.831615,0.828179,0.807560,0.798969,0.816151,0.874570,0.817869,0.807560,0.788427,0.821306,0.817869,0.746903,0.906736,0.840630,0.898625,0.881944,0.900344,0.905204,0.888316,0.891753,0.000000,0.821306,0.795533,0.821306,0.819588,0.823024,0.886861,0.812715,0.798969,0.812715,0.713058,0.804124,0.812715,0.809278,0.807560,0.745704,0.740550,0.905009,0.743986,0.895189,0.902062,0.804124,0.805842,0.792096,0.759450,0.878788,0.903986,0.798969,0.883162,0.805842,0.805842,0.804124,0.804124,0.812715,0.809278,0.798969,0.898917,0.812715,0.812715,0.903780,0.894340,0.902062,0.876761,0.898625,0.814433,0.904587,0.714777,0.876173,0.757732,0.845361,0.737113,0.804124,0.713058,0.847079,0.800687,0.805842,0.713058,0.817869,0.819588,0.752577,0.809278,0.781787,0.699313,0.750859,0.721649,0.761168,0.798969,0.692440,0.745552,0.816151,0.743986,0.761168,0.702749,0.738832,0.809278,0.814433,0.728522,0.714777,0.711340,0.716495,0.704467,0.764605,0.782123,0.706186,0.819588,0.804124,0.886598,0.781787,0.704467,0.771478,0.711340,0.742268,0.821306,0.783505,0.883162,0.798969,0.819588,0.704467,0.812715,0.740550,0.841924,0.819588,0.900885,0.871134,0.826460,0.826460,0.823024,0.824742
AID57413,0.252730,0.861154,0.834633,0.841930,0.901716,0.809672,0.803432,0.839314,0.831513,0.828393,0.854914,0.833333,0.848674,0.843994,0.836193,0.269891,0.274571,0.845554,0.862715,0.804918,0.882995,0.820593,0.856474,0.848101,0.806763,0.821596,0.833628,0.886010,0.562172,0.881435,0.888889,0.895476,0.879182,0.897036,0.881435,0.821306,0.000000,0.840874,0.836193,0.816000,0.823622,0.885036,0.848674,0.850234,0.836220,0.865835,0.845554,0.848437,0.848437,0.850000,0.859594,0.861154,0.896373,0.861154,0.881435,0.906396,0.848674,0.845554,0.843994,0.861154,0.866667,0.896739,0.841521,0.881435,0.839314,0.845554,0.845554,0.858034,0.847114,0.842434,0.850234,0.891697,0.804992,0.839314,0.901716,0.873585,0.886115,0.890845,0.890796,0.840874,0.884404,0.856474,0.883677,0.881435,0.264407,0.853354,0.840874,0.858034,0.377953,0.831513,0.840874,0.835000,0.828393,0.836193,0.851794,0.842767,0.856474,0.837705,0.853774,0.835237,0.858034,0.842434,0.836066,0.830961,0.820593,0.851675,0.859594,0.851852,0.856187,0.842434,0.822153,0.856918,0.858034,0.859594,0.843200,0.849117,0.865835,0.839851,0.852327,0.826833,0.845070,0.895476,0.850234,0.847267,0.876755,0.847512,0.851675,0.828393,0.858034,0.887676,0.853354,0.843994,0.850242,0.842434,0.853270,0.296774,0.819033,0.888496,0.879875,0.817473,0.833073,0.817473,0.836193
AIY27459,0.842434,0.832326,0.698651,0.816972,0.905547,0.810559,0.814642,0.638681,0.625187,0.806597,0.842579,0.822115,0.611694,0.611694,0.641679,0.839314,0.837754,0.620690,0.677661,0.811475,0.884558,0.824588,0.631184,0.797468,0.821256,0.807512,0.823009,0.875648,0.824869,0.884558,0.892361,0.901049,0.873606,0.901049,0.889055,0.795533,0.840874,0.000000,0.644678,0.798400,0.803150,0.875912,0.618827,0.619190,0.614173,0.837104,0.644678,0.634375,0.628125,0.634375,0.837104,0.834087,0.905009,0.831071,0.883058,0.899550,0.187406,0.166417,0.184408,0.835082,0.868687,0.889493,0.795563,0.878378,0.214393,0.202399,0.205397,0.154423,0.817091,0.620690,0.637181,0.882671,0.828571,0.640180,0.910045,0.873585,0.895052,0.867958,0.898051,0.638681,0.880734,0.838855,0.868668,0.862745,0.840678,0.850075,0.137931,0.830793,0.829921,0.196402,0.206897,0.806667,0.608696,0.638681,0.796102,0.625786,0.800600,0.809836,0.827044,0.822186,0.829085,0.649175,0.809836,0.811388,0.811178,0.810207,0.841079,0.814815,0.819398,0.814093,0.809595,0.814465,0.834356,0.824773,0.808000,0.821830,0.834101,0.804469,0.802568,0.796102,0.638498,0.886057,0.811094,0.807074,0.844078,0.802568,0.813397,0.796102,0.800600,0.889055,0.638427,0.650675,0.803543,0.685157,0.810207,0.846774,0.806597,0.877876,0.884384,0.805097,0.802099,0.802099,0.806597
AII82250,0.834633,0.818731,0.711055,0.828619,0.901325,0.835404,0.825545,0.327889,0.586118,0.819940,0.825893,0.804487,0.580370,0.583215,0.584284,0.833073,0.839314,0.638522,0.644847,0.826230,0.909548,0.839525,0.523560,0.824593,0.819646,0.832551,0.817699,0.872193,0.833625,0.908976,0.888889,0.908488,0.894052,0.905333,0.903266,0.821306,0.836193,0.644678,0.000000,0.822400,0.818898,0.881387,0.456790,0.578947,0.595276,0.834087,0.644330,0.612500,0.618750,0.610938,0.835596,0.835596,0.891192,0.826546,0.912760,0.896861,0.646177,0.643178,0.680905,0.811377,0.880808,0.894928,0.793978,0.902402,0.659670,0.647321,0.689698,0.667131,0.821637,0.590452,0.570850,0.870036,0.827068,0.630556,0.907097,0.881132,0.901726,0.878521,0.898684,0.244975,0.877064,0.826807,0.874296,0.847662,0.832203,0.832370,0.640180,0.838415,0.847244,0.653673,0.641679,0.800000,0.532663,0.511980,0.808720,0.588050,0.812221,0.806557,0.831761,0.800979,0.827688,0.645729,0.791803,0.811388,0.824773,0.808612,0.825328,0.803543,0.816054,0.806916,0.824850,0.820755,0.828221,0.814199,0.798400,0.792937,0.809524,0.819367,0.792937,0.819695,0.605634,0.908309,0.813711,0.795820,0.828697,0.818620,0.805423,0.821082,0.816692,0.904225,0.611195,0.519380,0.801932,0.711055,0.808612,0.837097,0.813988,0.881416,0.893393,0.808036,0.814371,0.812500,0.813711
AIT18928,0.801600,0.824000,0.833600,0.815308,0.904000,0.593600,0.588800,0.808000,0.801600,0.548800,0.822400,0.815705,0.817600,0.816000,0.790400,0.824000,0.809600,0.808000,0.820800,0.588525,0.884800,0.588800,0.814400,0.817360,0.626409,0.595200,0.787611,0.887737,0.819615,0.873600,0.878472,0.888000,0.895911,0.896000,0.875200,0.819588,0.816000,0.798400,0.822400,0.000000,0.539200,0.888686,0.819200,0.817600,0.817600,0.836800,0.795200,0.803200,0.796800,0.801600,0.840000,0.836800,0.889465,0.836800,0.884800,0.902400,0.792000,0.796800,0.801600,0.811200,0.868687,0.882246,0.819200,0.883200,0.804800,0.800000,0.806400,0.801600,0.569600,0.816000,0.806400,0.891697,0.598400,0.816000,0.894400,0.879245,0.894400,0.882042,0.894400,0.816000,0.884404,0.828800,0.881801,0.849600,0.820339,0.833600,0.800000,0.833600,0.820800,0.803200,0.796800,0.786667,0.816000,0.804800,0.819200,0.820800,0.843200,0.796721,0.840000,0.800979,0.838400,0.817600,0.803279,0.804270,0.548800,0.809600,0.822400,0.809984,0.811037,0.836800,0.555200,0.833600,0.836800,0.808000,0.816000,0.810594,0.827200,0.804469,0.808989,0.547200,0.824000,0.897600,0.836800,0.819936,0.836800,0.807384,0.808000,0.550400,0.833600,0.889600,0.814400,0.811200,0.809984,0.835200,0.806400,0.824194,0.552000,0.895575,0.897600,0.550400,0.547200,0.550400,0.553600
AIC77176,0.837795,0.840945,0.834646,0.830283,0.908661,0.629921,0.603150,0.820472,0.793701,0.118110,0.826772,0.793269,0.817323,0.823622,0.798425,0.826772,0.807874,0.815748,0.825197,0.611475,0.875591,0.622047,0.823622,0.822785,0.619968,0.628346,0.801770,0.911917,0.816112,0.875591,0.888889,0.899213,0.881041,0.905512,0.878740,0.823024,0.823622,0.803150,0.818898,0.539200,0.000000,0.881387,0.825197,0.820472,0.806299,0.847244,0.795276,0.792126,0.811024,0.807874,0.839370,0.847244,0.887737,0.847244,0.881890,0.889764,0.804724,0.811024,0.809449,0.822047,0.870707,0.875000,0.832013,0.885039,0.796850,0.803150,0.817323,0.806299,0.428346,0.803150,0.807874,0.891697,0.625197,0.822047,0.902362,0.886792,0.897638,0.880282,0.903937,0.823622,0.902752,0.861417,0.885553,0.861417,0.818644,0.829921,0.809449,0.848819,0.826772,0.800000,0.793701,0.806667,0.823622,0.807874,0.829921,0.817323,0.829921,0.795082,0.848819,0.807504,0.844094,0.823622,0.801639,0.800712,0.325984,0.805423,0.834646,0.793881,0.844482,0.833071,0.321260,0.851969,0.859843,0.806299,0.800000,0.800963,0.833071,0.821229,0.797753,0.143307,0.817323,0.905512,0.837795,0.799035,0.842520,0.797753,0.813397,0.144882,0.845669,0.908661,0.817323,0.815748,0.792271,0.839370,0.808612,0.838710,0.113386,0.906195,0.889764,0.141732,0.143307,0.137008,0.203150
YP_002887625,0.886861,0.885036,0.877737,0.905109,0.757299,0.888686,0.888686,0.886861,0.894161,0.886861,0.883212,0.906934,0.883212,0.885036,0.881387,0.883212,0.879562,0.872263,0.903285,0.899635,0.857664,0.903285,0.874088,0.894161,0.895985,0.881387,0.901460,0.737226,0.901460,0.864964,0.768248,0.821168,0.732342,0.808394,0.864964,0.886861,0.885036,0.875912,0.881387,0.888686,0.881387,0.000000,0.877737,0.885036,0.883212,0.895985,0.877737,0.877737,0.885036,0.881387,0.906934,0.905109,0.875912,0.897810,0.864964,0.797445,0.881387,0.879562,0.870438,0.890511,0.820202,0.757299,0.895985,0.864964,0.894161,0.879562,0.885036,0.872263,0.881387,0.895985,0.877737,0.523723,0.883212,0.864964,0.790146,0.745283,0.817518,0.770073,0.821168,0.872263,0.530275,0.899635,0.763602,0.916058,0.877737,0.892336,0.901460,0.897810,0.890511,0.877737,0.881387,0.910584,0.875912,0.881387,0.901460,0.875912,0.903285,0.894161,0.897810,0.901460,0.901460,0.879562,0.881387,0.885036,0.883212,0.897810,0.881387,0.892336,0.905109,0.886861,0.881387,0.897810,0.892336,0.901460,0.903285,0.903285,0.903285,0.888268,0.899635,0.881387,0.883212,0.788321,0.899635,0.897810,0.879562,0.897810,0.899635,0.881387,0.903285,0.755474,0.883212,0.877737,0.895985,0.883212,0.906934,0.879562,0.888686,0.760949,0.868613,0.886861,0.885036,0.883212,0.886861
AES86015,0.837754,0.839506,0.666667,0.825291,0.901235,0.827640,0.827103,0.438272,0.524691,0.822531,0.851852,0.802885,0.526235,0.530864,0.498457,0.837754,0.837754,0.591049,0.614198,0.822951,0.890432,0.828704,0.026235,0.828210,0.816425,0.813772,0.814159,0.879102,0.828371,0.891975,0.883681,0.895062,0.866171,0.899691,0.887346,0.812715,0.848674,0.618827,0.456790,0.819200,0.825197,0.877737,0.000000,0.523148,0.581102,0.837963,0.586420,0.581250,0.571875,0.578125,0.844136,0.837963,0.894646,0.828704,0.908951,0.891975,0.618827,0.612654,0.626543,0.820988,0.882828,0.903986,0.795563,0.910494,0.635802,0.620370,0.629630,0.609568,0.810185,0.487654,0.530864,0.875451,0.827160,0.625000,0.910494,0.869811,0.905864,0.882042,0.904321,0.458333,0.873394,0.837963,0.881801,0.864198,0.838983,0.859568,0.600309,0.848765,0.839370,0.623457,0.617284,0.805000,0.325617,0.353395,0.808642,0.577044,0.805556,0.813115,0.844340,0.810767,0.845679,0.589506,0.814754,0.797153,0.817901,0.818182,0.828704,0.813205,0.816054,0.811728,0.816358,0.844340,0.842593,0.825617,0.812800,0.812199,0.837963,0.808194,0.817014,0.816358,0.582160,0.878086,0.805556,0.810289,0.841049,0.813804,0.821372,0.811728,0.807099,0.881173,0.584877,0.415123,0.818035,0.641975,0.818182,0.846774,0.822531,0.900885,0.908951,0.813272,0.822531,0.811728,0.822531
AEI99170,0.839314,0.842900,0.725462,0.820300,0.902798,0.827640,0.834891,0.568990,0.583215,0.828869,0.836310,0.822115,0.058321,0.068279,0.568990,0.839314,0.843994,0.584637,0.647226,0.824590,0.900427,0.833581,0.553343,0.824593,0.822866,0.813772,0.803540,0.872193,0.842382,0.897582,0.888889,0.911807,0.877323,0.904694,0.907539,0.798969,0.850234,0.619190,0.578947,0.817600,0.820472,0.885036,0.523148,0.000000,0.552756,0.820513,0.638691,0.614062,0.621875,0.614062,0.828054,0.823529,0.892919,0.825038,0.904694,0.896861,0.619190,0.602699,0.635846,0.815868,0.888889,0.896739,0.779715,0.899399,0.637181,0.623512,0.640114,0.640114,0.827485,0.584637,0.591750,0.880866,0.836090,0.635846,0.907539,0.871698,0.900427,0.878521,0.901849,0.573257,0.875229,0.829819,0.872420,0.853695,0.838983,0.842486,0.623688,0.826220,0.836220,0.626687,0.625187,0.798333,0.549075,0.577525,0.813656,0.562893,0.801788,0.814754,0.836478,0.805873,0.835052,0.650071,0.816393,0.797153,0.827795,0.818182,0.819505,0.824477,0.812709,0.798271,0.830838,0.827044,0.822086,0.824773,0.824000,0.813804,0.824885,0.804469,0.817014,0.829303,0.621283,0.898281,0.801788,0.826367,0.827233,0.810594,0.818182,0.833570,0.803279,0.891892,0.632375,0.588905,0.819646,0.711238,0.818182,0.846774,0.827381,0.874336,0.876877,0.824405,0.826347,0.827381,0.827124
AEI99166,0.845669,0.840945,0.680315,0.811980,0.908661,0.818898,0.825197,0.593701,0.549606,0.800000,0.845669,0.828526,0.551181,0.562205,0.552756,0.845669,0.833071,0.503937,0.622047,0.811475,0.886614,0.836220,0.581102,0.819168,0.827697,0.811024,0.800000,0.889465,0.837128,0.883465,0.883681,0.892913,0.901487,0.902362,0.897638,0.812715,0.836220,0.614173,0.595276,0.817600,0.806299,0.883212,0.581102,0.552756,0.000000,0.837795,0.617323,0.617323,0.622047,0.612598,0.839370,0.834646,0.892919,0.833071,0.886614,0.900787,0.629921,0.622047,0.615748,0.825197,0.872727,0.887681,0.803487,0.886614,0.645669,0.623622,0.631496,0.629921,0.818898,0.562205,0.581102,0.880866,0.829921,0.637795,0.880315,0.890566,0.900787,0.878521,0.891339,0.581102,0.875229,0.834646,0.870544,0.859843,0.835593,0.856693,0.631496,0.848819,0.837795,0.620472,0.626772,0.816667,0.574803,0.584252,0.818898,0.193701,0.818898,0.822951,0.844094,0.831974,0.847244,0.625197,0.814754,0.806050,0.811024,0.830941,0.847244,0.824477,0.809365,0.806299,0.826772,0.840945,0.853543,0.833071,0.835200,0.836276,0.834646,0.802607,0.836276,0.800000,0.623622,0.874016,0.817323,0.823151,0.847244,0.834671,0.827751,0.801575,0.820472,0.870866,0.622047,0.588976,0.834138,0.681890,0.824561,0.845161,0.801575,0.890265,0.886614,0.804724,0.803150,0.807874,0.809449
ADM26648,0.854914,0.756798,0.837104,0.777038,0.889894,0.835404,0.833333,0.837104,0.831071,0.858220,0.787330,0.758013,0.835596,0.819005,0.829563,0.864275,0.850234,0.822021,0.819005,0.821311,0.897436,0.835596,0.832579,0.804702,0.832528,0.827856,0.755752,0.899827,0.847636,0.895928,0.897569,0.895928,0.899628,0.898944,0.892911,0.713058,0.865835,0.837104,0.834087,0.836800,0.847244,0.895985,0.837963,0.820513,0.837795,0.000000,0.808446,0.835938,0.829688,0.837500,0.092006,0.084465,0.894646,0.090498,0.895928,0.901961,0.841629,0.841629,0.814480,0.785822,0.894949,0.894928,0.833597,0.901961,0.840121,0.838612,0.823529,0.835596,0.852187,0.832579,0.829563,0.900722,0.837104,0.841629,0.901961,0.892453,0.900452,0.883803,0.900452,0.837104,0.900917,0.331825,0.876173,0.273002,0.864407,0.582202,0.828054,0.437500,0.864567,0.825038,0.838612,0.751667,0.829563,0.811463,0.745098,0.838050,0.805430,0.745902,0.495283,0.753670,0.696833,0.832579,0.747541,0.750890,0.836858,0.759171,0.794872,0.758454,0.787625,0.832579,0.841629,0.455975,0.444785,0.770393,0.766400,0.759230,0.757296,0.787709,0.759230,0.849170,0.838811,0.909502,0.809955,0.754019,0.803922,0.756019,0.754386,0.858220,0.808446,0.906486,0.838124,0.834087,0.761675,0.822021,0.752791,0.870968,0.855204,0.909735,0.895928,0.861237,0.855204,0.859729,0.850679
YP_002916059,0.840874,0.815710,0.679124,0.821963,0.895434,0.812112,0.800623,0.659794,0.631443,0.806548,0.812500,0.818910,0.631579,0.635846,0.643041,0.840874,0.833073,0.646438,0.662953,0.804918,0.903351,0.803863,0.632199,0.820976,0.806763,0.809077,0.792920,0.873921,0.816112,0.908505,0.885417,0.907162,0.877323,0.905333,0.905928,0.804124,0.845554,0.644678,0.644330,0.795200,0.795276,0.877737,0.586420,0.638691,0.617323,0.808446,0.000000,0.001563,0.095312,0.057813,0.825038,0.825038,0.898100,0.822021,0.906250,0.899851,0.640180,0.641679,0.677835,0.809880,0.864646,0.876812,0.787639,0.897898,0.652174,0.636905,0.671392,0.669916,0.808480,0.614691,0.638327,0.880866,0.804511,0.647222,0.903226,0.867925,0.908367,0.878521,0.901316,0.640464,0.877064,0.828313,0.870544,0.844646,0.832203,0.835260,0.644678,0.830793,0.831496,0.635682,0.631184,0.806667,0.631443,0.635309,0.811533,0.614780,0.798808,0.806557,0.828616,0.797716,0.832106,0.284794,0.801639,0.802491,0.790030,0.799043,0.812227,0.809984,0.822742,0.804035,0.811377,0.817610,0.826687,0.809668,0.814400,0.817014,0.812596,0.813780,0.813804,0.815534,0.225352,0.905444,0.803279,0.823151,0.824305,0.817014,0.795853,0.811373,0.798808,0.900000,0.270802,0.634367,0.809984,0.661082,0.797448,0.837097,0.803571,0.872566,0.890390,0.808036,0.799401,0.799107,0.803279
ACR15778,0.839063,0.834375,0.634375,0.831947,0.887500,0.817187,0.800000,0.610938,0.590625,0.795312,0.835938,0.826923,0.604688,0.612500,0.593750,0.835938,0.832812,0.603125,0.659375,0.801639,0.887500,0.814063,0.584375,0.828210,0.806763,0.804382,0.789381,0.873921,0.814361,0.890625,0.887153,0.892188,0.877323,0.895312,0.890625,0.812715,0.848437,0.634375,0.612500,0.803200,0.792126,0.877737,0.581250,0.614062,0.617323,0.835938,0.001563,0.000000,0.093750,0.056250,0.831250,0.828125,0.913644,0.828125,0.892188,0.892188,0.628125,0.629687,0.632812,0.828125,0.864646,0.873188,0.789223,0.893750,0.639062,0.621875,0.634375,0.631250,0.803125,0.579688,0.614062,0.880866,0.815625,0.609375,0.904687,0.867925,0.879687,0.878521,0.896875,0.606250,0.877064,0.835938,0.870544,0.854688,0.833898,0.846875,0.632812,0.839063,0.831496,0.618750,0.618750,0.811667,0.585938,0.585938,0.809375,0.614780,0.817187,0.819672,0.830189,0.812398,0.837500,0.250000,0.811475,0.804270,0.795312,0.802233,0.817187,0.814815,0.831104,0.804688,0.809375,0.827044,0.837500,0.817187,0.827200,0.826645,0.829688,0.813780,0.825040,0.796875,0.225352,0.896875,0.817187,0.826367,0.834375,0.828250,0.803828,0.801562,0.815625,0.881250,0.246875,0.593750,0.827697,0.634375,0.805423,0.835484,0.796875,0.860177,0.890625,0.792188,0.798438,0.793750,0.800000
ACR15767,0.834375,0.829688,0.629687,0.823627,0.882812,0.817187,0.803125,0.617188,0.593750,0.801562,0.829688,0.822115,0.610938,0.617188,0.584375,0.829688,0.831250,0.607812,0.662500,0.809836,0.890625,0.820312,0.571875,0.819168,0.809984,0.813772,0.794690,0.879102,0.819615,0.889062,0.887153,0.893750,0.882900,0.889062,0.889062,0.809278,0.848437,0.628125,0.618750,0.796800,0.811024,0.885036,0.571875,0.621875,0.622047,0.829688,0.095312,0.093750,0.000000,0.060937,0.831250,0.829688,0.910190,0.823438,0.893750,0.909375,0.623437,0.625000,0.631250,0.829688,0.870707,0.876812,0.784469,0.895312,0.640625,0.620313,0.631250,0.629687,0.807813,0.571875,0.615625,0.884477,0.814063,0.593750,0.901563,0.869811,0.906250,0.875000,0.900000,0.607812,0.886239,0.832812,0.876173,0.854688,0.828814,0.835938,0.634375,0.837500,0.833071,0.620313,0.620313,0.816667,0.585938,0.590625,0.807813,0.622642,0.821875,0.808197,0.827044,0.807504,0.840625,0.242188,0.798361,0.800712,0.793750,0.803828,0.818750,0.824477,0.827759,0.809375,0.803125,0.825472,0.837500,0.809375,0.820800,0.817014,0.831250,0.815642,0.815409,0.801562,0.225352,0.889062,0.817187,0.818328,0.831250,0.817014,0.808612,0.800000,0.818750,0.892188,0.231250,0.592187,0.816425,0.639062,0.803828,0.843548,0.800000,0.870796,0.890625,0.803125,0.803125,0.801562,0.803125
ACJ38931,0.835938,0.831250,0.626563,0.820300,0.875000,0.812500,0.804688,0.610938,0.592187,0.800000,0.831250,0.826923,0.604688,0.609375,0.589063,0.831250,0.832812,0.614062,0.656250,0.808197,0.887500,0.815625,0.578125,0.820976,0.813205,0.805947,0.792920,0.879102,0.812609,0.890625,0.888889,0.890625,0.875465,0.889062,0.887500,0.807560,0.850000,0.634375,0.610938,0.801600,0.807874,0.881387,0.578125,0.614062,0.612598,0.837500,0.057813,0.056250,0.060937,0.000000,0.835938,0.837500,0.911917,0.835938,0.892188,0.895312,0.631250,0.626563,0.634375,0.835938,0.868687,0.876812,0.790808,0.892188,0.640625,0.626563,0.635938,0.629687,0.806250,0.576562,0.615625,0.877256,0.812500,0.596875,0.907813,0.871698,0.906250,0.878521,0.900000,0.606250,0.878899,0.832812,0.878049,0.859375,0.830508,0.839063,0.634375,0.829688,0.829921,0.625000,0.626563,0.813333,0.585938,0.585938,0.807813,0.610063,0.817187,0.811475,0.827044,0.812398,0.837500,0.242188,0.804918,0.802491,0.792188,0.807018,0.815625,0.827697,0.822742,0.804688,0.809375,0.822327,0.840625,0.814063,0.828800,0.828250,0.832812,0.815642,0.826645,0.804688,0.217527,0.884375,0.815625,0.826367,0.834375,0.823435,0.810207,0.806250,0.818750,0.882812,0.237500,0.592187,0.826087,0.631250,0.803828,0.838710,0.800000,0.867257,0.887500,0.800000,0.803125,0.800000,0.804688
ACF94533,0.853354,0.756798,0.834087,0.785358,0.901961,0.822981,0.831776,0.832579,0.826546,0.846154,0.781297,0.754808,0.832579,0.822021,0.829563,0.861154,0.850234,0.826546,0.825038,0.818033,0.907994,0.838612,0.834087,0.788427,0.832528,0.830986,0.753982,0.891192,0.847636,0.909502,0.899306,0.897436,0.894052,0.894419,0.901961,0.745704,0.859594,0.837104,0.835596,0.840000,0.839370,0.906934,0.844136,0.828054,0.839370,0.092006,0.825038,0.831250,0.831250,0.835938,0.000000,0.028658,0.905009,0.034691,0.901961,0.900452,0.843137,0.844646,0.812971,0.788839,0.896970,0.896739,0.828843,0.898944,0.840121,0.840121,0.843137,0.837104,0.846154,0.838612,0.835596,0.893502,0.841629,0.840121,0.900452,0.888679,0.898944,0.887324,0.892911,0.835596,0.891743,0.337858,0.896811,0.236802,0.854237,0.582202,0.829563,0.443598,0.862992,0.831071,0.843137,0.756667,0.834087,0.819005,0.755656,0.831761,0.803922,0.752459,0.498428,0.752039,0.705882,0.829563,0.752459,0.752669,0.836858,0.752791,0.793363,0.761675,0.772575,0.829563,0.843137,0.462264,0.446319,0.771903,0.772800,0.764045,0.760369,0.798883,0.764045,0.841629,0.841941,0.904977,0.806938,0.760450,0.800905,0.760835,0.752791,0.840121,0.809955,0.909502,0.839637,0.825038,0.760064,0.822021,0.748006,0.861290,0.847662,0.902655,0.898944,0.841629,0.840121,0.840121,0.850679
ABK00521,0.851794,0.758308,0.831071,0.780366,0.906486,0.824534,0.834891,0.831071,0.825038,0.844646,0.775264,0.758013,0.832579,0.822021,0.826546,0.859594,0.851794,0.823529,0.822021,0.818033,0.904977,0.835596,0.835596,0.806510,0.829308,0.826291,0.755752,0.898100,0.844133,0.897436,0.895833,0.900452,0.897770,0.897436,0.903469,0.740550,0.861154,0.834087,0.835596,0.836800,0.847244,0.905109,0.837963,0.823529,0.834646,0.084465,0.825038,0.828125,0.829688,0.837500,0.028658,0.000000,0.903282,0.031674,0.901961,0.901961,0.840121,0.840121,0.812971,0.787330,0.894949,0.896739,0.828843,0.901961,0.840121,0.841629,0.838612,0.834087,0.841629,0.832579,0.834087,0.902527,0.825038,0.837104,0.900452,0.896226,0.898944,0.883803,0.903469,0.834087,0.891743,0.331825,0.894934,0.220211,0.849153,0.588235,0.828054,0.437500,0.861417,0.831071,0.835596,0.756667,0.831071,0.817496,0.751131,0.834906,0.803922,0.749180,0.498428,0.752039,0.701357,0.826546,0.750820,0.750890,0.830816,0.748006,0.793363,0.758454,0.772575,0.829563,0.843137,0.459119,0.447853,0.770393,0.771200,0.762440,0.760369,0.795158,0.760835,0.849170,0.835681,0.904977,0.805430,0.757235,0.800905,0.759230,0.746411,0.838612,0.806938,0.907994,0.835098,0.823529,0.758454,0.815988,0.746411,0.854839,0.844646,0.902655,0.900452,0.847662,0.843137,0.840121,0.849170
YP_271915,0.891192,0.903282,0.891192,0.898100,0.896373,0.884283,0.891192,0.896373,0.889465,0.884283,0.896373,0.899827,0.905009,0.905009,0.901554,0.903282,0.898100,0.884283,0.905009,0.898100,0.889465,0.901554,0.898100,0.909584,0.894646,0.889465,0.904425,0.889465,0.903678,0.887737,0.881944,0.898100,0.897770,0.898100,0.886010,0.905009,0.896373,0.905009,0.891192,0.889465,0.887737,0.875912,0.894646,0.892919,0.892919,0.894646,0.898100,0.913644,0.910190,0.911917,0.905009,0.903282,0.000000,0.903282,0.868739,0.899827,0.901554,0.905009,0.898100,0.901554,0.890909,0.896739,0.884283,0.870466,0.901554,0.898100,0.894646,0.905009,0.889465,0.903282,0.901554,0.895307,0.886010,0.896373,0.894646,0.879245,0.899827,0.890845,0.906736,0.884283,0.893578,0.898100,0.893058,0.913644,0.899827,0.901554,0.901554,0.905009,0.896373,0.905009,0.894646,0.894646,0.903282,0.892919,0.908463,0.889465,0.911917,0.896373,0.911917,0.896373,0.903282,0.901554,0.899827,0.893238,0.889465,0.898100,0.901554,0.898100,0.892919,0.896373,0.889465,0.905009,0.915371,0.903282,0.892919,0.894646,0.908463,0.893855,0.891192,0.901554,0.906736,0.896373,0.905009,0.898100,0.889465,0.892919,0.903282,0.894646,0.905009,0.875648,0.908463,0.891192,0.905009,0.901554,0.896373,0.899827,0.889465,0.892035,0.870466,0.894646,0.891192,0.891192,0.889465
