id,clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
AFK91980,82	2	545	0	100.00%	100%
NP_899650,83	1	544	1	100	100%
NP_051020,84	4	538	1	100	100%
AAF04297,84	4	538	0	100.00%	100%
BAA82961,84	4	538	0	100.00%	100%
NP_051020,84	4	538	0	100.00%	100%
AFC75858,85	2	533	1	100	100%
AFC75858,85	2	533	0	100.00%	100%
NP_874381,86	3	530	1	100	100%
AAO38887,86	3	530	0	100.00%	100%
NP_874381,86	3	530	0	100.00%	100%
YP_008658568,87	3	495	1	100	100%
AGW50716,87	3	495	0	100.00%	100%
YP_008658568,87	3	495	0	100.00%	100%
ALV85426,88	1	447	1	100	100%
