species,AVR53768__MG745682.1,AVR53760__MG745678.1,AVR53758__MG745677.1,AVR53746__MG745672.1,AVR53744__MG745671.1,AVR53742__MG745670.1,YP_009272913__KU950356,YP_009215301__KP729195,AII82250__KM017744.1,AGL09957__KC339251.1,AGL09956__KC339250.1,AWV66970__MG693108.1,AWO81976__MG345036.1,AWO81967__MG345028.1,AWF28742__MF198246.1,AWB14639__MF416384.1,AWB14637__MF416383.1,AWB14590__MF175080.1,YP_009315890__KU321655,AAY45700__DQ000496.1,AUW64490__MG136722.1,AUQ23249__KY564173.1,AUO28605__KY511292.1,AUF34951__MG383448.1,AUF34940__MG383445.1,AUD40075__MF464269.1,AUD40071__MF464268.1,YP_009315908__KT878839,YP_009315886__KT878837,ATX68205__MF444157.1,ATX68201__MF362633.1,ATV81502__MF682927.1,ATV81500__MF682926.1,ATV81497__MF682925.1,ATV81491__MF682923.1,ATV81488__MF682922.1,ATJ03467__MF285607.1,ATI09457__MF593479.1,APC23176__KT961665.1,ATD50845__MF085373.1,ASM93495__KY214448.1,YP_009389289__KY640438,AIF74245__KJ641683.1,AIF74237__KJ641680.1,AIF74198__KJ641663.1,ASC49417__KY640455.1,ASC49334__KY640430.1,ASC49322__KY640427.1,AOX47681__KU321654.1,YP_009361877__KX981923,APC23164__KT961659.1,AQX45759__KX343069.1,AQR59123__KX133426.1,AQS80393__KX981980.1,AQS80381__KX981976.1,AQS80297__KX981922.1,AQS80292__KX981921.1,AQN78781__KX685945.1,ALT55210__KU295527.1,ALT55209__KU295526.1,ALT55206__KU295523.1,ALT55196__KU295513.1,BAS32608__AB982223.1,AOL02446__KX583629.1,ANY57893__KX272741.1,AEF33726__JF512473.1,ADN44566__GQ869543.1,ADN44563__GQ869542.1,ALA40028__KT329428.1,YP_009259490__KU172421,YP_009186840__KT716186,YP_009241376__LC085675,BAU69595__LC085666.1,AGF85783__KC580640.1,AAF61213__AF221123.1,AAB95451__AF028705.1,AKI82155__KR261072.1,ADI60252__HM053693.2,YP_009229908__KT592508,AME15917__KT878967.1,AME15905__KT878961.1,AME15895__KT878959.1,YP_009227290__KT454512,ALR74754__KT965075.1,AKG54800__KP281720.1,AIW53333__KM254174.1,BAR72999__LC011425.1,YP_009130650__AB937988,BAR42282__LC011438.1,YP_009154712__KP733794,AID57413__KJ396347.1,AIT18928__KJ495710.1,AIC77176__KJ631100.1,AES86015__JN648103.1,AEI99166__HQ291308.1,ADM26648__HQ113143.1,YP_002916059__FJ973561,ACR15767__FJ973558.1,YP_009010974__KF360033,AHK26987__KF025386.1,AHK26969__KF025380.1,AHA86835__KF373759.1,AGZ93685__KF792837.1,AGS15085__KF206166.1,AGS15077__KF206164.1,AGS15053__KF206158.1,AGS15039__KF206154.1,AFV48069__JX627576.1,AFK85003__JQ814850.1,YP_005097851__JQ037754,ADB55714__GU269892.1,AFH96872__JQ692585.1,AFD01617__JN798211.1,AFD01602__JN798204.1,ABV71710__EU175872.1,AAA66612__M20036.1,AEX38011__JQ037753.1,AEX30511__JN831651.1,AEQ76796__JF504699.1,AEP95278__JN202450.1,AEO37417__JF429834.1,AEM37643__JN420372.1,AEM37606__JN420365.1,AEM37593__JN420361.1,ACT09660__GQ200736.1,ADP36995__HQ223038.1,AAD13755__AF085716.1,ADD17085__GU226971.1,ADF32027__GU938300.1,ADK34009__HM145750.1,AAR26464__AY388617.1,AAR07954__AY349010.1,AAC40229__U44978.1,AAA83224__U22967.1,AAA74973__U26342.1,AAC03775__AF043303.1,ADB20207__GQ387499.1,ADD22705__GU214704.1,ACD37375__EU659111.1,ABY67706__EU200677.1,ABY67682__EU200669.1,AAO32086__AY186198.1,AAN03856__AF513852.1,AAL09673__AF406967.1,AAL09671__AF406966.1,AAL55416__AY064475.1,AAF61212__AF221122.1,ACH81927__EU918736.1,ACL31580__FJ214110.1,ABI16638__DQ813647.1,ABC69727__DQ335247.1,CAA66227__X97629.1,CAA25689__X01457.1,AIZ50117__KP120516.1,AIE58040__KM035804.1,AGW95844__KC876004.1,AAC40694__AF036710.1
ATJ03467__MF285607.1,0.834633,0.836193,0.842434,0.831699,0.862342,0.861154,0.839314,0.870515,0.836193,0.836193,0.845554,0.833073,0.862715,0.847791,0.816614,0.828319,0.833916,0.854914,0.853354,0.848200,0.858347,0.302521,0.858054,0.875874,0.886115,0.837754,0.835334,0.289076,0.854914,0.170940,0.206838,0.853354,0.856474,0.854914,0.867395,0.842949,0.000000,0.836735,0.845554,0.842434,0.822153,0.840874,0.800407,0.846922,0.570928,0.840874,0.836193,0.837754,0.850234,0.235569,0.854914,0.842434,0.851794,0.184087,0.204368,0.238690,0.249610,0.811232,0.118565,0.179407,0.177847,0.174727,0.822153,0.847114,0.904836,0.842434,0.850629,0.940252,0.154446,0.829953,0.817473,0.803432,0.711679,0.837754,0.862715,0.849359,0.798469,0.848674,0.829953,0.194139,0.201248,0.196568,0.834633,0.822951,0.831513,0.903276,0.832528,0.827856,0.800000,0.837168,0.294852,0.804800,0.831496,0.834633,0.839370,0.854914,0.836193,0.846875,0.837754,0.839314,0.847114,0.864275,0.833073,0.845554,0.848674,0.842434,0.842434,0.820593,0.843994,0.862400,0.177847,0.837754,0.862715,0.893916,0.876755,0.200000,0.858034,0.834633,0.851794,0.377953,0.843994,0.840000,0.840874,0.843994,0.853354,0.834906,0.840984,0.838499,0.850234,0.851794,0.839344,0.830961,0.819033,0.859649,0.858034,0.855072,0.847826,0.845554,0.833073,0.860063,0.856474,0.858034,0.851200,0.858034,0.843575,0.848674,0.870515,0.850234,0.843994,0.850242,0.842434,0.241935,0.836193,0.833333,0.846293,0.839937,0.831513
ATI09457__MF593479.1,0.591837,0.780612,0.744898,0.752551,0.823980,0.801020,0.505102,0.563776,0.530612,0.466837,0.525510,0.573980,0.795918,0.806122,0.803571,0.795918,0.793367,0.500000,0.589286,0.627551,0.790816,0.862245,0.793367,0.655612,0.693878,0.454082,0.589286,0.862245,0.813776,0.862245,0.867347,0.790816,0.772959,0.525510,0.594388,0.625000,0.836735,0.000000,0.579082,0.584184,0.584184,0.625000,0.801020,0.352041,0.854592,0.632653,0.619898,0.591837,0.609694,0.849490,0.778061,0.617347,0.765306,0.852041,0.844388,0.844388,0.841837,0.808673,0.836735,0.834184,0.839286,0.839286,0.798469,0.752551,0.867347,0.619898,0.826531,0.910714,0.841837,0.589286,0.806122,0.803571,0.850365,0.135204,0.778061,0.785714,0.816327,0.571429,0.316327,0.869898,0.839286,0.839286,0.530612,0.808673,0.494898,0.836735,0.811224,0.801020,0.895408,0.793367,0.854592,0.808673,0.806122,0.573980,0.576531,0.803571,0.561224,0.619898,0.617347,0.622449,0.594388,0.767857,0.525510,0.635204,0.627551,0.602041,0.625000,0.806122,0.619898,0.772959,0.844388,0.528061,0.806122,0.887755,0.803571,0.859694,0.798469,0.622449,0.808673,0.857143,0.627551,0.798469,0.492347,0.494898,0.757653,0.581633,0.798469,0.775510,0.793367,0.561224,0.783163,0.788265,0.801020,0.790816,0.770408,0.795918,0.795918,0.762755,0.790816,0.818878,0.798469,0.772959,0.778061,0.785714,0.808673,0.762755,0.806122,0.632653,0.487245,0.785714,0.627551,0.859694,0.790816,0.793367,0.823980,0.767857,0.803571
APC23176__KT961665.1,0.550077,0.825886,0.813559,0.789216,0.867089,0.850539,0.510015,0.639445,0.539291,0.513097,0.545455,0.557781,0.848998,0.824877,0.807210,0.814159,0.793706,0.522342,0.573190,0.569640,0.812816,0.847059,0.824561,0.694056,0.688752,0.365177,0.523156,0.842017,0.845917,0.834188,0.846154,0.827427,0.833590,0.520801,0.594761,0.551282,0.845554,0.579082,0.000000,0.551618,0.576271,0.659476,0.780041,0.570715,0.833625,0.662558,0.588598,0.591680,0.571649,0.847114,0.852080,0.556240,0.795069,0.850234,0.842434,0.850234,0.848674,0.821263,0.843994,0.847114,0.840874,0.840874,0.830508,0.813272,0.906009,0.585516,0.852201,0.932390,0.842434,0.653313,0.826087,0.823988,0.770073,0.499230,0.848998,0.836538,0.775510,0.505393,0.506934,0.826007,0.840874,0.850234,0.546995,0.821311,0.491525,0.892142,0.826087,0.810642,0.780723,0.807080,0.840874,0.808000,0.814173,0.487654,0.533858,0.839753,0.588598,0.581250,0.582435,0.579353,0.576271,0.832049,0.536210,0.594761,0.591680,0.585516,0.585516,0.835131,0.624037,0.827200,0.845554,0.536210,0.836672,0.879815,0.861325,0.840678,0.847458,0.577812,0.852080,0.840945,0.590139,0.816667,0.516179,0.520801,0.804314,0.522013,0.827869,0.812398,0.850539,0.591680,0.826230,0.795374,0.822804,0.830941,0.847458,0.834138,0.826087,0.795069,0.812018,0.842767,0.850539,0.824345,0.830400,0.844376,0.798883,0.807396,0.858243,0.585516,0.516179,0.829308,0.651772,0.840323,0.818182,0.821306,0.828210,0.776545,0.824345
ATD50845__MF085373.1,0.280000,0.813846,0.818462,0.790850,0.856013,0.841538,0.598462,0.632308,0.596923,0.569231,0.587692,0.626154,0.843077,0.823241,0.821317,0.812389,0.811189,0.484615,0.643077,0.615023,0.816189,0.828571,0.829346,0.704545,0.716923,0.526154,0.267581,0.825210,0.847692,0.841026,0.856410,0.835385,0.833846,0.583077,0.658462,0.605769,0.842434,0.584184,0.551618,0.000000,0.616923,0.681538,0.802444,0.602329,0.840630,0.673846,0.633846,0.630769,0.638462,0.840874,0.843077,0.620000,0.806154,0.843994,0.847114,0.839314,0.845554,0.821538,0.847114,0.836193,0.833073,0.850234,0.838462,0.825617,0.892308,0.627692,0.839623,0.937107,0.848674,0.693846,0.822981,0.825545,0.762774,0.567692,0.846154,0.823718,0.765306,0.572308,0.569231,0.833333,0.836193,0.834633,0.523077,0.822951,0.598462,0.895385,0.830918,0.813772,0.790361,0.810619,0.843994,0.822400,0.806299,0.594136,0.119685,0.843077,0.613846,0.620313,0.638462,0.638462,0.630769,0.840000,0.600000,0.658462,0.632308,0.640000,0.641538,0.830769,0.641538,0.832000,0.842434,0.592308,0.838462,0.881538,0.861538,0.845763,0.856923,0.644615,0.847692,0.836220,0.635385,0.816667,0.586154,0.596923,0.818462,0.256289,0.818033,0.817292,0.850769,0.618462,0.811475,0.813167,0.818462,0.822967,0.849231,0.834138,0.816054,0.801538,0.823077,0.836478,0.846154,0.835385,0.832000,0.832308,0.804469,0.826154,0.855385,0.620000,0.592308,0.835749,0.692308,0.848387,0.813846,0.800687,0.813743,0.806656,0.813846
ASM93495__KY214448.1,0.623734,0.822917,0.808926,0.792484,0.846519,0.827273,0.620222,0.618384,0.648241,0.637953,0.615385,0.639735,0.808157,0.801964,0.833856,0.812389,0.800699,0.622078,0.625509,0.621283,0.817875,0.833613,0.826156,0.701049,0.719298,0.629256,0.576329,0.835294,0.830769,0.822222,0.839316,0.814985,0.821321,0.655738,0.624082,0.586538,0.822153,0.584184,0.576271,0.616923,0.000000,0.722424,0.792261,0.585691,0.826620,0.720000,0.646220,0.674214,0.677986,0.833073,0.841270,0.594470,0.798271,0.837754,0.829953,0.836193,0.837754,0.827011,0.817473,0.826833,0.833073,0.834633,0.829123,0.822531,0.882263,0.646177,0.839623,0.938679,0.823713,0.717799,0.819876,0.813084,0.770073,0.633676,0.834821,0.818910,0.765306,0.633001,0.608365,0.824176,0.834633,0.833073,0.647757,0.826230,0.634817,0.876672,0.822866,0.818466,0.792771,0.814159,0.839314,0.814400,0.815748,0.586420,0.606299,0.838612,0.659794,0.623437,0.649175,0.640180,0.700246,0.823353,0.639900,0.656672,0.639881,0.703611,0.671309,0.830075,0.677778,0.820800,0.829953,0.649254,0.834337,0.871795,0.852187,0.830508,0.851156,0.638681,0.827744,0.839370,0.640180,0.806667,0.609726,0.630517,0.807314,0.603774,0.806557,0.799347,0.824742,0.671642,0.804918,0.813167,0.827795,0.816587,0.834061,0.818035,0.794314,0.798271,0.815868,0.825472,0.826687,0.833837,0.804800,0.817204,0.806331,0.810730,0.836018,0.629349,0.614987,0.814815,0.714286,0.841935,0.821429,0.819588,0.826401,0.800317,0.819672
YP_009389289__KY640438,0.703329,0.808036,0.815900,0.774510,0.840190,0.827273,0.704069,0.704735,0.682161,0.704120,0.668016,0.692715,0.818731,0.823241,0.811912,0.800000,0.791958,0.702597,0.678426,0.625978,0.799325,0.843697,0.803828,0.688811,0.738192,0.691047,0.667238,0.847059,0.832308,0.834188,0.842735,0.804281,0.818318,0.709962,0.684288,0.645833,0.840874,0.625000,0.659476,0.681538,0.722424,0.000000,0.771894,0.675541,0.849387,0.152727,0.669044,0.689308,0.709091,0.850234,0.821068,0.655914,0.802594,0.851794,0.848674,0.840874,0.843994,0.813354,0.834633,0.834633,0.843994,0.840874,0.814264,0.817901,0.880734,0.656672,0.844340,0.938679,0.836193,0.698182,0.809006,0.813084,0.759124,0.714653,0.821429,0.815705,0.772959,0.689900,0.704689,0.829670,0.845554,0.837754,0.711082,0.814754,0.675393,0.876672,0.800322,0.813772,0.802410,0.801770,0.850234,0.803200,0.784252,0.640432,0.670866,0.849170,0.668814,0.623437,0.646177,0.652174,0.700246,0.814371,0.676286,0.671664,0.650298,0.694894,0.678273,0.818045,0.656944,0.801600,0.834633,0.718905,0.837349,0.889894,0.859729,0.838983,0.838150,0.665667,0.835366,0.847244,0.644678,0.790000,0.697007,0.702396,0.812940,0.679245,0.809836,0.812398,0.839470,0.684080,0.814754,0.782918,0.818731,0.803828,0.822416,0.808374,0.809365,0.805476,0.802395,0.828616,0.826687,0.821752,0.817600,0.815668,0.815642,0.801788,0.827233,0.638427,0.691214,0.806763,0.692121,0.846774,0.799107,0.817869,0.817360,0.789223,0.798808
AIF74245__KJ641683.1,0.802444,0.635438,0.784114,0.814664,0.816701,0.806517,0.778004,0.804481,0.802444,0.792261,0.767821,0.778004,0.782077,0.784114,0.615071,0.792261,0.788187,0.773931,0.802444,0.798371,0.800407,0.804481,0.782077,0.839104,0.853360,0.775967,0.788187,0.804481,0.798371,0.822811,0.837067,0.786151,0.794297,0.796334,0.804481,0.786151,0.800407,0.801020,0.780041,0.802444,0.792261,0.771894,0.000000,0.790224,0.808554,0.786151,0.763747,0.765784,0.806517,0.808554,0.784114,0.800407,0.804481,0.804481,0.812627,0.810591,0.820774,0.598778,0.782077,0.802444,0.790224,0.816701,0.568228,0.782077,0.871690,0.782077,0.802444,0.932790,0.802444,0.804481,0.596741,0.608961,0.503650,0.775967,0.773931,0.788187,0.543367,0.796334,0.771894,0.828921,0.806517,0.808554,0.784114,0.619145,0.786151,0.867617,0.608961,0.606925,0.696386,0.790224,0.806517,0.598778,0.639511,0.790224,0.798371,0.796334,0.773931,0.775967,0.784114,0.786151,0.780041,0.784114,0.780041,0.788187,0.790224,0.780041,0.796334,0.604888,0.806517,0.769857,0.792261,0.790224,0.800407,0.863544,0.806517,0.820774,0.800407,0.788187,0.802444,0.796334,0.788187,0.773931,0.790224,0.767821,0.775967,0.800407,0.780041,0.792261,0.810591,0.794297,0.782077,0.800407,0.600815,0.788187,0.771894,0.780041,0.784114,0.806517,0.602851,0.808554,0.812627,0.780041,0.792261,0.786151,0.826884,0.790224,0.800407,0.802444,0.778004,0.780041,0.808554,0.822811,0.608961,0.786151,0.808554,0.792261,0.639511
AIF74237__KJ641680.1,0.605657,0.808652,0.798669,0.798669,0.846922,0.831947,0.525790,0.577371,0.542429,0.519135,0.540765,0.602329,0.818636,0.826955,0.823627,0.812389,0.804196,0.529118,0.577371,0.648918,0.812816,0.863866,0.821963,0.748252,0.695507,0.497504,0.588336,0.853782,0.835275,0.866667,0.870085,0.810316,0.815308,0.545757,0.594010,0.637271,0.846922,0.352041,0.570715,0.602329,0.585691,0.675541,0.790224,0.000000,0.865149,0.673877,0.665557,0.647255,0.592346,0.860233,0.816972,0.627288,0.798669,0.846922,0.853577,0.855241,0.861897,0.833611,0.850250,0.851913,0.855241,0.848586,0.828619,0.813644,0.895175,0.665557,0.848586,0.936772,0.853577,0.633943,0.825291,0.823627,0.748175,0.366057,0.825291,0.815308,0.767857,0.585691,0.299501,0.858974,0.856905,0.855241,0.557404,0.828619,0.519135,0.865225,0.831947,0.818636,0.816867,0.815929,0.863561,0.823627,0.820300,0.570715,0.602329,0.813644,0.605657,0.643927,0.667221,0.670549,0.645591,0.808652,0.549085,0.690516,0.675541,0.638935,0.672213,0.816972,0.623960,0.811980,0.853577,0.535774,0.826955,0.876872,0.828619,0.866102,0.840266,0.663894,0.816972,0.860233,0.667221,0.810000,0.522463,0.509151,0.790349,0.608985,0.821963,0.803661,0.828619,0.617304,0.818636,0.809609,0.816972,0.815308,0.810316,0.821963,0.834448,0.798669,0.798669,0.835275,0.823627,0.815308,0.815308,0.797005,0.828678,0.797005,0.840266,0.635607,0.524126,0.825291,0.667221,0.868552,0.806988,0.807560,0.839060,0.792013,0.816972
AIF74198__KJ641663.1,0.821366,0.828371,0.830123,0.833625,0.852890,0.856392,0.826620,0.858144,0.833625,0.844133,0.847636,0.838879,0.856392,0.854641,0.807356,0.831858,0.831874,0.844133,0.838879,0.821366,0.838879,0.558669,0.835377,0.873905,0.872154,0.838879,0.849387,0.549912,0.849387,0.567426,0.572680,0.840630,0.849387,0.824869,0.851138,0.838879,0.570928,0.854592,0.833625,0.840630,0.826620,0.849387,0.808554,0.865149,0.000000,0.831874,0.823117,0.830123,0.852890,0.544658,0.835377,0.838879,0.838879,0.560420,0.560420,0.558669,0.562172,0.796848,0.546410,0.558669,0.551664,0.541156,0.809107,0.847636,0.898424,0.826620,0.844133,0.924694,0.563923,0.837128,0.788091,0.802102,0.762774,0.828371,0.840630,0.837128,0.803571,0.840630,0.828371,0.569597,0.549912,0.558669,0.842382,0.800350,0.831874,0.887916,0.819615,0.807356,0.787952,0.833628,0.562172,0.819615,0.816112,0.828371,0.837128,0.847636,0.816112,0.819615,0.838879,0.830123,0.837128,0.854641,0.824869,0.826620,0.828371,0.835377,0.826620,0.826620,0.826620,0.835377,0.548161,0.837128,0.854641,0.889667,0.875657,0.562172,0.847636,0.816112,0.840630,0.567426,0.826620,0.831874,0.842382,0.824869,0.851138,0.828371,0.823117,0.833625,0.854641,0.826620,0.824869,0.834520,0.810858,0.837128,0.828371,0.842382,0.851138,0.845884,0.816112,0.847636,0.845884,0.833625,0.842382,0.849387,0.856611,0.838879,0.844133,0.817863,0.824869,0.840630,0.842382,0.562172,0.824869,0.840630,0.857143,0.837128,0.824869
ASC49417__KY640455.1,0.704776,0.797619,0.810321,0.771242,0.838608,0.827273,0.704069,0.713092,0.692211,0.696629,0.674764,0.709934,0.818731,0.806874,0.815047,0.794690,0.793706,0.706494,0.690638,0.627543,0.811130,0.830252,0.807018,0.701049,0.732794,0.693569,0.668954,0.823529,0.827692,0.835897,0.844444,0.813456,0.821321,0.708701,0.693098,0.653846,0.840874,0.632653,0.662558,0.673846,0.720000,0.152727,0.786151,0.673877,0.831874,0.000000,0.659058,0.684277,0.724848,0.858034,0.819625,0.668203,0.802594,0.847114,0.847114,0.845554,0.854914,0.823976,0.836193,0.833073,0.845554,0.836193,0.821694,0.817901,0.882263,0.650675,0.842767,0.944969,0.836193,0.704242,0.816770,0.816199,0.770073,0.712082,0.819940,0.807692,0.762755,0.678521,0.703422,0.831502,0.836193,0.837754,0.717678,0.803279,0.675393,0.878158,0.809984,0.832551,0.821687,0.792920,0.836193,0.800000,0.798425,0.640432,0.670866,0.831071,0.679124,0.628125,0.646177,0.650675,0.701474,0.820359,0.678795,0.665667,0.654762,0.693649,0.681058,0.827068,0.661111,0.798400,0.833073,0.696517,0.831325,0.886878,0.853695,0.833898,0.839595,0.667166,0.820122,0.842520,0.647676,0.801667,0.700748,0.702396,0.808720,0.685535,0.804918,0.812398,0.839470,0.685323,0.813115,0.781139,0.815710,0.805423,0.818049,0.808374,0.812709,0.799712,0.814371,0.827044,0.828221,0.820242,0.804800,0.824885,0.808194,0.813711,0.828697,0.621785,0.702842,0.800322,0.694545,0.840323,0.799107,0.812715,0.810127,0.767036,0.801788
ASC49334__KY640430.1,0.649783,0.818452,0.823110,0.779412,0.840190,0.834848,0.653352,0.680456,0.649073,0.619116,0.639087,0.673324,0.817221,0.806874,0.807210,0.807080,0.797203,0.644793,0.680456,0.621283,0.792580,0.830252,0.814992,0.678322,0.721826,0.630528,0.610635,0.818487,0.836923,0.830769,0.823932,0.818043,0.810811,0.651926,0.671072,0.613782,0.836193,0.619898,0.588598,0.633846,0.646220,0.669044,0.763747,0.665557,0.823117,0.659058,0.000000,0.118402,0.674750,0.826833,0.835498,0.628264,0.806916,0.834633,0.836193,0.834633,0.839314,0.822458,0.839314,0.831513,0.834633,0.837754,0.820208,0.802469,0.903670,0.422789,0.833333,0.926101,0.840874,0.697575,0.812112,0.811526,0.740876,0.641940,0.828869,0.791667,0.750000,0.639087,0.640514,0.816850,0.826833,0.828393,0.644793,0.808197,0.646220,0.890045,0.809984,0.810642,0.812048,0.814159,0.836193,0.804800,0.815748,0.625000,0.617323,0.826546,0.650499,0.618750,0.436282,0.436282,0.433666,0.827844,0.659058,0.455772,0.438988,0.473609,0.469330,0.818045,0.654779,0.812800,0.833073,0.649073,0.832831,0.867270,0.855204,0.820339,0.845376,0.434783,0.832317,0.834646,0.433283,0.786667,0.633381,0.659058,0.818830,0.627358,0.796721,0.809135,0.839470,0.649073,0.795082,0.804270,0.812689,0.813397,0.838428,0.797101,0.817726,0.814121,0.818862,0.820755,0.825153,0.814199,0.795200,0.837174,0.817505,0.815201,0.838946,0.620272,0.649073,0.795491,0.707561,0.829032,0.818452,0.804124,0.795660,0.793978,0.825633
ASC49322__KY640427.1,0.652677,0.811012,0.817294,0.779412,0.846519,0.828788,0.685535,0.675487,0.683019,0.654088,0.647773,0.705960,0.806647,0.813421,0.818182,0.800000,0.793706,0.662338,0.687924,0.621283,0.799325,0.831933,0.810207,0.678322,0.717949,0.654477,0.615780,0.821849,0.835385,0.827350,0.825641,0.810398,0.810811,0.674653,0.651982,0.612179,0.837754,0.591837,0.591680,0.630769,0.674214,0.689308,0.765784,0.647255,0.830123,0.684277,0.118402,0.000000,0.705660,0.828393,0.822511,0.629800,0.805476,0.834633,0.831513,0.836193,0.834633,0.820941,0.839314,0.831513,0.833073,0.833073,0.824666,0.796296,0.899083,0.422789,0.842767,0.927673,0.839314,0.720755,0.818323,0.805296,0.762774,0.663239,0.825893,0.801282,0.744898,0.645804,0.675539,0.820513,0.834633,0.834633,0.660950,0.806557,0.667539,0.876672,0.803543,0.809077,0.807229,0.808850,0.842434,0.808000,0.815748,0.632716,0.620472,0.820513,0.668814,0.621875,0.433283,0.430285,0.475472,0.814371,0.685535,0.452774,0.441964,0.514465,0.474930,0.822556,0.668056,0.816000,0.828393,0.683019,0.825301,0.865762,0.844646,0.825424,0.839595,0.431784,0.829268,0.842520,0.433283,0.796667,0.670440,0.686003,0.810127,0.632075,0.800000,0.800979,0.832106,0.676730,0.793443,0.804270,0.808157,0.813397,0.828239,0.800322,0.817726,0.806916,0.818862,0.819182,0.826687,0.814199,0.808000,0.821813,0.817505,0.801788,0.833089,0.620272,0.677003,0.795491,0.715723,0.820968,0.812500,0.805842,0.801085,0.793978,0.821162
AOX47681__KU321654.1,0.649783,0.825893,0.813110,0.797386,0.840190,0.825758,0.621455,0.676880,0.620603,0.630462,0.620783,0.672848,0.823263,0.824877,0.822884,0.789381,0.788462,0.649351,0.122117,0.616588,0.816189,0.842017,0.802233,0.702797,0.723347,0.638083,0.608919,0.840336,0.823077,0.842735,0.846154,0.814985,0.821321,0.640605,0.474302,0.365385,0.850234,0.609694,0.571649,0.638462,0.677986,0.709091,0.806517,0.592346,0.852890,0.724848,0.674750,0.705660,0.000000,0.847114,0.822511,0.339478,0.817003,0.848674,0.850234,0.843994,0.853354,0.833080,0.848674,0.847114,0.853354,0.847114,0.836553,0.808642,0.870031,0.650675,0.823899,0.938679,0.853354,0.721120,0.827640,0.825545,0.781022,0.636247,0.815476,0.825321,0.788265,0.613087,0.621039,0.836996,0.845554,0.847114,0.664908,0.827869,0.609948,0.869242,0.835749,0.815336,0.831325,0.800000,0.843994,0.817600,0.822047,0.549383,0.633071,0.829563,0.673969,0.626563,0.649175,0.649175,0.703931,0.806886,0.627353,0.667166,0.653274,0.684932,0.675487,0.837594,0.680556,0.806400,0.847114,0.625622,0.817771,0.873303,0.841629,0.845763,0.828035,0.652174,0.821646,0.858268,0.650675,0.801667,0.619701,0.629256,0.810127,0.625786,0.803279,0.800979,0.832106,0.670398,0.803279,0.804270,0.839879,0.805423,0.809316,0.814815,0.817726,0.818444,0.841317,0.812893,0.815951,0.820242,0.819200,0.812596,0.810056,0.786885,0.828697,0.624811,0.617571,0.813205,0.715116,0.853226,0.825893,0.810997,0.828210,0.806656,0.836066
YP_009361877__KX981923,0.822153,0.817473,0.833073,0.818627,0.865506,0.859594,0.834633,0.862715,0.848674,0.836193,0.842434,0.842434,0.856474,0.855974,0.816614,0.823009,0.825175,0.847114,0.845554,0.838811,0.849916,0.265546,0.846890,0.867133,0.875195,0.834633,0.838765,0.255462,0.853354,0.206838,0.220513,0.856474,0.853354,0.845554,0.847114,0.833333,0.235569,0.849490,0.847114,0.840874,0.833073,0.850234,0.808554,0.860233,0.544658,0.858034,0.826833,0.828393,0.847114,0.000000,0.854914,0.834633,0.847114,0.187207,0.191888,0.104524,0.107644,0.808112,0.190328,0.201248,0.198128,0.198128,0.803432,0.843994,0.903276,0.829953,0.845912,0.937107,0.193448,0.829953,0.814353,0.790952,0.718978,0.842434,0.851794,0.838141,0.790816,0.847114,0.831513,0.216117,0.202808,0.213729,0.834633,0.800000,0.840874,0.898596,0.835749,0.823161,0.787952,0.840708,0.268331,0.820800,0.839370,0.837754,0.834646,0.850234,0.837754,0.835938,0.840874,0.839314,0.839314,0.848674,0.828393,0.839314,0.845554,0.833073,0.836193,0.815913,0.843994,0.851200,0.204368,0.853354,0.858034,0.895476,0.879875,0.205085,0.859594,0.833073,0.848674,0.357480,0.834633,0.831667,0.840874,0.837754,0.856474,0.838050,0.840984,0.833605,0.848674,0.839314,0.836066,0.843416,0.806552,0.848485,0.847114,0.843800,0.846154,0.840874,0.828393,0.844340,0.862715,0.856474,0.844800,0.854914,0.847300,0.843994,0.864275,0.837754,0.845554,0.845411,0.823713,0.241935,0.826833,0.835052,0.848101,0.841521,0.834633
