ProteinAccession__GenomeAcc	GenomeAcc_ScientificName	TaxonomyID	ScientificName	Lineage	GenomeAccession	Genus	Species	GenomeAcc_Lineage	ProteinAccession	RepresentativeSequence	ClusterSequences	mPTPClusterID
YP_005097851__JQ037754	JQ037754_Artibeus jamaicensis parvovirus 1	1131485	Artibeus jamaicensis parvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	JQ037754	unclassified Parvovirinae	unclassified Parvovirinae	JQ037754_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	YP_005097851	JQ037754	YP_005097851,AEX38015	YP_005097851__JQ037754_Species 3
ADN44566__GQ869543.1	GQ869543.1_Porcine hokovirus	494652	Porcine hokovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2	GQ869543.1	Tetraparvovirus	Ungulate tetraparvovirus 2	GQ869543.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2	ADN44566	GQ869543.1	ADN44566	ADN44566__GQ869543.1_Species 6
AAA66612__M20036.1	M20036.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	M20036.1	Amdoparvovirus	Carnivore amdoparvovirus 1	M20036.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	AAA66612	M20036.1	ANC70152,ANC70142,ANC70137,ANC70132,ANC70127,ANC70122,ANC70117,ANC70112,ANC70107,ANC70102,ANC70097,ANC70092,ANC70087,ANC70082,ANC70077,ANC70072,ANC70067,ANC70062,ANC70057,ANC70052,AQS80396,AQS80390,AQS80375,ANC57660,ANC57655,ANC57650,ANC57645,AME15910,AEK27531,CAA54349,P24030,NP_042872,AAA66612,ATX68202	AAA66612__M20036.1_Species 21
ALT55210__KU295527.1	KU295527.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KU295527.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KU295527.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ALT55210	KU295527.1	ALT55210,ALT55208,ALT55207,ALT55205,ALT55199,ALT55198,ALT55197,ALT55195	ALT55210__KU295527.1_Species 21
AFD01602__JN798204.1	JN798204.1_Parvovirus 4-like MK-2012	1157691	Parvovirus 4-like MK-2012	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	JN798204.1	Protoparvovirus	unclassified Protoparvovirus	JN798204.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AFD01602	JN798204.1	AFD01602	AFD01602__JN798204.1_Species 6
YP_009010974__KF360033	KF360033_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF360033	Bocaparvovirus	unclassified Bocaparvovirus	KF360033_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009010974	KF360033	YP_009010974,AGY46253	YP_009010974__KF360033_Species 8
ALT55196__KU295513.1	KU295513.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	KU295513.1	Amdoparvovirus	Carnivore amdoparvovirus 1	KU295513.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ALT55196	KU295513.1	ALT55196	ALT55196__KU295513.1_Species 21
AGL09956__KC339250.1	KC339250.1_Bat bocavirus XM30	2259811	Bat bocavirus XM30	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Chiropteran bocaparvovirus 3	KC339250.1	Bocaparvovirus	Chiropteran bocaparvovirus 3	KC339250.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Chiropteran bocaparvovirus 3	AGL09956	KC339250.1	AGL09956	AGL09956__KC339250.1_Species 9
ALR74754__KT965075.1	KT965075.1_Protoparvovirus Zsana/2013/HUN	1755694	Protoparvovirus Zsana/2013/HUN	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Ungulate protoparvovirus 2	KT965075.1	Protoparvovirus	Ungulate protoparvovirus 2	KT965075.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Ungulate protoparvovirus 2	ALR74754	KT965075.1	ALR74754,AMY15605	ALR74754__KT965075.1_Species 19
AGL09957__KC339251.1	KC339251.1_Bat bocavirus WM40	2259810	Bat bocavirus WM40	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Chiropteran bocaparvovirus 2	KC339251.1	Bocaparvovirus	Chiropteran bocaparvovirus 2	KC339251.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Chiropteran bocaparvovirus 2	AGL09957	KC339251.1	AGL09957,AIF74217	AGL09957__KC339251.1_Species 9
YP_009186840__KT716186	KT716186_Rat bufavirus SY-2015	1763507	Rat bufavirus SY-2015	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 3	KT716186	Protoparvovirus	Rodent protoparvovirus 3	KT716186_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 3	YP_009186840	KT716186	YP_009186840,ALQ10607	YP_009186840__KT716186_Species 19
YP_009315886__KT878837	KT878837_Tetraparvovirus sp.	1908804	Tetraparvovirus sp.	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;unclassified Tetraparvovirus	KT878837	Tetraparvovirus	unclassified Tetraparvovirus	KT878837_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;unclassified Tetraparvovirus	YP_009315886	KT878837	YP_009315886,AOW44155	YP_009315886__KT878837_Species 6
YP_002916059__FJ973561	FJ973561_Human bocavirus 4 NI	1511883	Human bocavirus 4 NI	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2	FJ973561	Bocaparvovirus	Primate bocaparvovirus 2	FJ973561_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2	YP_002916059	FJ973561	YP_002916059,ACR15779	YP_002916059__FJ973561_Species 10
YP_009315908__KT878839	KT878839_Amdoparvovirus sp.	1908805	Amdoparvovirus sp.	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;unclassified Amdoparvovirus	KT878839	Amdoparvovirus	unclassified Amdoparvovirus	KT878839_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;unclassified Amdoparvovirus	YP_009315908	KT878839	YP_009315908,AOW44161	YP_009315908__KT878839_Species 21
AVR53742__MG745670.1	MG745670.1_Rodent tetraparvovirus	2137541	Rodent tetraparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;unclassified Tetraparvovirus	MG745670.1	Tetraparvovirus	unclassified Tetraparvovirus	MG745670.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;unclassified Tetraparvovirus	AVR53742	MG745670.1	AVR53742,AVR53740	AVR53742__MG745670.1_Species 6
YP_009389289__KY640438	KY640438_Dromedary camel bocaparvovirus 2	2014604	Dromedary camel bocaparvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640438	Bocaparvovirus	unclassified Bocaparvovirus	KY640438_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	YP_009389289	KY640438	YP_009389289,ASC49399,ASC49387,ASC49366	YP_009389289__KY640438_Species 12
AVR53744__MG745671.1	MG745671.1_Opossum tetraparvovirus	2137540	Opossum tetraparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;unclassified Tetraparvovirus	MG745671.1	Tetraparvovirus	unclassified Tetraparvovirus	MG745671.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;unclassified Tetraparvovirus	AVR53744	MG745671.1	AVR53744	AVR53744__MG745671.1_Species 4
AVR53746__MG745672.1	MG745672.1_Pileated finch aveparvovirus	2137544	Pileated finch aveparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Aveparvovirus;unclassified Aveparvovirus	MG745672.1	Aveparvovirus	unclassified Aveparvovirus	MG745672.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Aveparvovirus;unclassified Aveparvovirus	AVR53746	MG745672.1	AVR53746	AVR53746__MG745672.1_Species 15
AWF28742__MF198246.1	MF198246.1_Canine protoparvovirus	2172548	Canine protoparvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	MF198246.1	Protoparvovirus	unclassified Protoparvovirus	MF198246.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus	AWF28742	MF198246.1	AWF28742,AWF28739,AWF28736	AWF28742__MF198246.1_Species 19
AVR53760__MG745678.1	MG745678.1_Rodent protoparvovirus 3	2137545	Rodent protoparvovirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus	MG745678.1	Protoparvovirus	Protoparvovirus	MG745678.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus	AVR53760	MG745678.1	AVR53760,AVR53756,AVR53754,AVR53752,AVR53770,AVR53772,AVR53771	AVR53760__MG745678.1_Species 18
ASC49322__KY640427.1	KY640427.1_Dromedary camel bocaparvovirus 1	2014603	Dromedary camel bocaparvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY640427.1	Bocaparvovirus	unclassified Bocaparvovirus	KY640427.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASC49322	KY640427.1	ASC49322,ASC49362,ASC49358,ASC49354,ASC49350,ASC49346,ASC49338,ASC49326,ASC49318,ASC49314,ASC49294,ASC49286,ASC49342,ASC49302	ASC49322__KY640427.1_Species 7
AIF74198__KJ641663.1	KJ641663.1_Bat parvovirus	1514704	Bat parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KJ641663.1	unclassified Parvovirinae	unclassified Parvovirinae	KJ641663.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AIF74198	KJ641663.1	AIF74198	AIF74198__KJ641663.1_Species 20
AAL55416__AY064475.1	AY064475.1_Human parvovirus B19 - A6	182494	Human parvovirus B19 - A6	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1;Human parvovirus B19	AY064475.1	Erythroparvovirus	Human parvovirus B19	AY064475.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1;Human parvovirus B19	AAL55416	AY064475.1	Q9PZT1,ASU04383,P07298,AKQ44381,ALQ33059,ALF95957,ALF95952,ALF95946,ALF95940,ALF95934,YP_004928144,AIK97779,AIK97774,AIS74866,AIS74861,AIS74856,AIS74851,AIS74846,AIS74841,AIS74836,AII82174,AII82171,AAX83876,AGT28237,AGT28232,AGT28227,AGT28222,AGT28214,AGT28209,AGT28204,AGT28183,AGT28176,AGT28168,AGT28163,AGT28158,AGT28153,AGT28148,AGT28143,AGT28138,AGT28132,AGT28127,AGT28116,AGT28111,AGT28108,AGT28099,AGT28092,AGT28082,AGT28075,AGT28070,ACI96278,NP_694863,AFO54486,CBJ94528,CBJ94525,CBJ94519,CBJ94516,CBJ94513,ADQ57308,ADQ57306,AAL91012,AAR97625,BAI82364,ACL36592,ABL09113,ABL09108,AAQ91878,AAD46613,AAC99437,CBI63311,CBI63305,AAL55420,AAL55416,AAT67239,AAA66866,AAK95570,BAA90291,BAA90288,BAA90266,BAD02258,BAD02255,BAD02252,BAD02249,BAD02246,BAD02243,BAD02240,BAD02237,BAD02234,BAD02231,ABD64553,ABD64550,ABD64547,ABD64544,ABD64541,ABC54827,ABC54824,ABC54821,ABN45789,ABL09136,ABL09131,ABL09126,ABB36720,ABB36716,ABC02067,ABC87246,ABC87241,ABB13547,ABB13542,ABB13537,ABB13532,CAA92269,CAG70337,CAG30503,CAC80618,CAA03197,CAA94439,CAA94512,CAA94472,CAG70328,CAG70325,CAG70323,CAG70320,CAG70317,AFM45126,AFM45123,AFM45270,AFM45258,AFM45222,AFM45192,AFM45189,AFM45186,AFM45162,AFM45135,AFM45132,AFM45267,AAD45913,AAD45911,AFM45198,AFM45171,AFM45141,CAG70334,CAG70331,AFM45291,AAD45914,AFM45108,AAD45916,AFM45285,AFM45282,AFM45129,AFM45120,AFM45117,AFM45114,AFM45111,AFM45105,AFM45102,AFM45294,AFM45288,AFM45279,AFM45276,AFM45273,AFM45264,AFM45261,AFM45255,AFM45252,AFM45249,AFM45246,AFM45243,AFM45240,AFM45237,AFM45234,AFM45231,AFM45228,AFM45225,AFM45216,AFM45213,AFM45210,AFM45207,AFM45204,AFM45201,AFM45195,AFM45183,AFM45180,AFM45177,AFM45174,AFM45168,AFM45165,AFM45159,AFM45156,AFM45153,AFM45150,AFM45147,AFM45144,AFM45138,AFM45219,AAD45908,CBJ94522,CEJ95810,AGT28188,AGT28207,AGT28193,AGT28173,AGT28097,AGT28080,AGT28056,AGT28059,AGT28121,AGT28065,ALF95932,AGT28240,ALQ33080,ALQ33078,ALQ33076,ALQ33074,ALQ33072,ABN11281,ABN11280,ABN11279,AGT28199,ALQ33071,ALQ33070,ALQ33069,ALQ33068,ALQ33067,ALQ33066,ALQ33065,ALQ33064,ALF95931	AAL55416__AY064475.1_Species 22
YP_009154712__KP733794	KP733794_Bearded dragon parvovirus	1670662	Bearded dragon parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	KP733794	Dependoparvovirus	unclassified Dependoparvovirus	KP733794_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependoparvovirus	YP_009154712	KP733794	YP_009154712,AKM49963	YP_009154712__KP733794_Species 25
ATX68201__MF362633.1	MF362633.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	MF362633.1	Amdoparvovirus	Carnivore amdoparvovirus 1	MF362633.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ATX68201	MF362633.1	ATX68201	ATX68201__MF362633.1_Species 21
AGS15039__KF206154.1	KF206154.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF206154.1	Bocaparvovirus	unclassified Bocaparvovirus	KF206154.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGS15039	KF206154.1	AGS15039,AWW25132,AEY68757,AHK27143	AGS15039__KF206154.1_Species 8
ASM93495__KY214448.1	KY214448.1_Lupine bocavirus	2017714	Lupine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KY214448.1	Bocaparvovirus	unclassified Bocaparvovirus	KY214448.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	ASM93495	KY214448.1	ASM93495	ASM93495__KY214448.1_Species 9
AAA74973__U26342.1	U26342.1_Simian parvovirus	31598	Simian parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 2	U26342.1	Erythroparvovirus	Primate erythroparvovirus 2	U26342.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 2	AAA74973	U26342.1	AAA74973	AAA74973__U26342.1_Species 23
AGS15053__KF206158.1	KF206158.1_Porcine bocavirus	1165907	Porcine bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	KF206158.1	Bocaparvovirus	unclassified Bocaparvovirus	KF206158.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AGS15053	KF206158.1	AGS15053	AGS15053__KF206158.1_Species 8
ATX68205__MF444157.1	MF444157.1_Aleutian mink disease virus	28314	Aleutian mink disease virus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	MF444157.1	Amdoparvovirus	Carnivore amdoparvovirus 1	MF444157.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1	ATX68205	MF444157.1	ATX68205,ATX68204	ATX68205__MF444157.1_Species 21
AIF74237__KJ641680.1	KJ641680.1_Bat parvovirus	1514704	Bat parvovirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	KJ641680.1	unclassified Parvovirinae	unclassified Parvovirinae	KJ641680.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae	AIF74237	KJ641680.1	AIF74237	AIF74237__KJ641680.1_Species 9
AVR53768__MG745682.1	MG745682.1_Rodent bocavirus	2137546	Rodent bocavirus	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	MG745682.1	Bocaparvovirus	unclassified Bocaparvovirus	MG745682.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus	AVR53768	MG745682.1	AVR53768,AVR53749	AVR53768__MG745682.1_Species 9
ANY57893__KX272741.1	KX272741.1_Rat parvovirus 2	1885571	Rat parvovirus 2	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae;Chapparvovirus	KX272741.1	unclassified Parvovirinae	Chapparvovirus	KX272741.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae;Chapparvovirus	ANY57893	KX272741.1	ANY57893	ANY57893__KX272741.1_Species 17
AEM37606__JN420365.1	JN420365.1_California sea lion bocavirus 3	1073961	California sea lion bocavirus 3	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 2	JN420365.1	Bocaparvovirus	Pinniped bocaparvovirus 2	JN420365.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Pinniped bocaparvovirus 2	AEM37606	JN420365.1	AEM37606	AEM37606__JN420365.1_Species 9
ABI16638__DQ813647.1	DQ813647.1_Adeno-associated virus 12	235458	Adeno-associated virus 12	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4	DQ813647.1	Dependoparvovirus	Adeno-associated virus - 4	DQ813647.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4	ABI16638	DQ813647.1	ABI16638	ABI16638__DQ813647.1_Species 26
AAC40694__AF036710.1	AF036710.1_Rat parvovirus 1	74581	Rat parvovirus 1	Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 2	AF036710.1	Protoparvovirus	Rodent protoparvovirus 2	AF036710.1_Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 2	AAC40694	AF036710.1	AAC40693,AFV67813,AAC40694	AAC40694__AF036710.1_Species 18
